"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",10.85,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",45.02,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",14077.75,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",61.43,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",50.31,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",40.35,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",5.95,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",18.62,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",16.68,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",21.45,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-02T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",8.81,"provisorisch"
"2022-01-02T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.94,"provisorisch"
"2022-01-02T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",13.86,"provisorisch"
"2022-01-02T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",39.06,"provisorisch"
"2022-01-02T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",53.67,"provisorisch"
"2022-01-02T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",0.99,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.13,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",7.31,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",1.73,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",11.31,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",56.91,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",12.45,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",6.17,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",65.96,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",8856.84,"provisorisch"
"2022-01-03T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",19.84,"provisorisch"
"2022-01-03T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",9.93,"provisorisch"
"2022-01-03T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",22.71,"provisorisch"
"2022-01-03T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",54.04,"provisorisch"
"2022-01-03T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",8.11,"provisorisch"
"2022-01-03T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",5.29,"provisorisch"
"2022-01-03T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",66.72,"provisorisch"
"2022-01-03T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-03T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",8930.85,"provisorisch"
"2022-01-03T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",43.64,"provisorisch"
"2022-01-03T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",26.47,"provisorisch"
"2022-01-03T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",42.87,"provisorisch"
"2022-01-03T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",32.95,"provisorisch"
"2022-01-03T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",9.55,"provisorisch"
"2022-01-03T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",6.62,"provisorisch"
"2022-01-03T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",47.38,"provisorisch"
"2022-01-03T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-03T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",4.15,"provisorisch"
"2022-01-03T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.88,"provisorisch"
"2022-01-03T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",6.59,"provisorisch"
"2022-01-03T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",68.37,"provisorisch"
"2022-01-03T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",77.89,"provisorisch"
"2022-01-03T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",0.96,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.12,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",4.6,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",1.28,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",6.84,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",58.95,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",9.84,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",5.33,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",68.78,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",9020.85,"provisorisch"
"2022-01-04T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",13.7,"provisorisch"
"2022-01-04T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",7.06,"provisorisch"
"2022-01-04T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",15.38,"provisorisch"
"2022-01-04T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",51.85,"provisorisch"
"2022-01-04T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",7.68,"provisorisch"
"2022-01-04T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",5.07,"provisorisch"
"2022-01-04T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",69.3,"provisorisch"
"2022-01-04T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-04T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",6853.49,"provisorisch"
"2022-01-04T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",22.6,"provisorisch"
"2022-01-04T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",12.85,"provisorisch"
"2022-01-04T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",23.53,"provisorisch"
"2022-01-04T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",47.91,"provisorisch"
"2022-01-04T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",8.6,"provisorisch"
"2022-01-04T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",5.82,"provisorisch"
"2022-01-04T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",60.87,"provisorisch"
"2022-01-04T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-04T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",3.93,"provisorisch"
"2022-01-04T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.94,"provisorisch"
"2022-01-04T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",6.07,"provisorisch"
"2022-01-04T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",64.52,"provisorisch"
"2022-01-04T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",72.04,"provisorisch"
"2022-01-04T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-05T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",0.5,"provisorisch"
"2022-01-05T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.15,"provisorisch"
"2022-01-05T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",7.72,"provisorisch"
"2022-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",2.26,"provisorisch"
"2022-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",11.31,"provisorisch"
"2022-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",57.74,"provisorisch"
"2022-01-05T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",7.26,"provisorisch"
"2022-01-05T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",5.07,"provisorisch"
"2022-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",75,"provisorisch"
"2022-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-05T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",7879.99,"provisorisch"
"2022-01-05T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",19.41,"provisorisch"
"2022-01-05T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",9.57,"provisorisch"
"2022-01-05T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",22.45,"provisorisch"
"2022-01-05T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",53.39,"provisorisch"
"2022-01-05T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",6.5,"provisorisch"
"2022-01-05T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",4.58,"provisorisch"
"2022-01-05T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",76.11,"provisorisch"
"2022-01-05T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-05T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",7827.27,"provisorisch"
"2022-01-05T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",27.56,"provisorisch"
"2022-01-05T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",14.79,"provisorisch"
"2022-01-05T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",30.03,"provisorisch"
"2022-01-05T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",45.29,"provisorisch"
"2022-01-05T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",7.9,"provisorisch"
"2022-01-05T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",5.68,"provisorisch"
"2022-01-05T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",72.23,"provisorisch"
"2022-01-05T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-05T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",5.2,"provisorisch"
"2022-01-05T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.14,"provisorisch"
"2022-01-05T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",8.21,"provisorisch"
"2022-01-05T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",62.85,"provisorisch"
"2022-01-05T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",81.14,"provisorisch"
"2022-01-05T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-06T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",0.39,"provisorisch"
"2022-01-06T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.22,"provisorisch"
"2022-01-06T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",22.93,"provisorisch"
"2022-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",10.85,"provisorisch"
"2022-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",27.21,"provisorisch"
"2022-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",36.25,"provisorisch"
"2022-01-06T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",10.66,"provisorisch"
"2022-01-06T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",7.96,"provisorisch"
"2022-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",59.91,"provisorisch"
"2022-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-06T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",12115.12,"provisorisch"
"2022-01-06T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",28.01,"provisorisch"
"2022-01-06T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",13.76,"provisorisch"
"2022-01-06T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",32.46,"provisorisch"
"2022-01-06T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",35.15,"provisorisch"
"2022-01-06T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",10.92,"provisorisch"
"2022-01-06T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",7.83,"provisorisch"
"2022-01-06T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",58.72,"provisorisch"
"2022-01-06T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-06T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",9933.7,"provisorisch"
"2022-01-06T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",38,"provisorisch"
"2022-01-06T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",21.24,"provisorisch"
"2022-01-06T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",40.1,"provisorisch"
"2022-01-06T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",26.6,"provisorisch"
"2022-01-06T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",11.76,"provisorisch"
"2022-01-06T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",9.35,"provisorisch"
"2022-01-06T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",52.13,"provisorisch"
"2022-01-06T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-06T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",7.44,"provisorisch"
"2022-01-06T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.22,"provisorisch"
"2022-01-06T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",12.35,"provisorisch"
"2022-01-06T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",48.53,"provisorisch"
"2022-01-06T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",61.39,"provisorisch"
"2022-01-06T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-07T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",0.27,"provisorisch"
"2022-01-07T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.18,"provisorisch"
"2022-01-07T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",11.86,"provisorisch"
"2022-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",3.74,"provisorisch"
"2022-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",16.95,"provisorisch"
"2022-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",42.01,"provisorisch"
"2022-01-07T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",11.61,"provisorisch"
"2022-01-07T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",9.04,"provisorisch"
"2022-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",60.85,"provisorisch"
"2022-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-07T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",8957.78,"provisorisch"
"2022-01-07T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",18.43,"provisorisch"
"2022-01-07T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",8.24,"provisorisch"
"2022-01-07T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",22.61,"provisorisch"
"2022-01-07T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",39.52,"provisorisch"
"2022-01-07T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",12.35,"provisorisch"
"2022-01-07T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",9.26,"provisorisch"
"2022-01-07T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",60.68,"provisorisch"
"2022-01-07T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-07T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",7360.04,"provisorisch"
"2022-01-07T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",40.71,"provisorisch"
"2022-01-07T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",27.21,"provisorisch"
"2022-01-07T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",36.14,"provisorisch"
"2022-01-07T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",27.61,"provisorisch"
"2022-01-07T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",13.93,"provisorisch"
"2022-01-07T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",11.48,"provisorisch"
"2022-01-07T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",46.8,"provisorisch"
"2022-01-07T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-07T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",7.05,"provisorisch"
"2022-01-07T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.38,"provisorisch"
"2022-01-07T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",11.37,"provisorisch"
"2022-01-07T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",47.16,"provisorisch"
"2022-01-07T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",64.49,"provisorisch"
"2022-01-07T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
