"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",25.18,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",31.72,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",11.71,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",9.29,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",6.73,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",25.59,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-06T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",7.48,"provisorisch"
"2023-01-06T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.45,"provisorisch"
"2023-01-06T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",12.07,"provisorisch"
"2023-01-06T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",28.94,"provisorisch"
"2023-01-06T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",42.22,"provisorisch"
"2023-01-06T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.03,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.23,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",11.68,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",3.16,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",17.48,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",26.38,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",10.95,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",9,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",41,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",13727.61,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",15.64,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",6.18,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",20.44,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",25.51,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",10.44,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",8.58,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",41.2,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",9033.92,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",31.87,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",21.17,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",28.49,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",21.09,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",11.28,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",8.57,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",38.51,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-07T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",6.07,"provisorisch"
"2023-01-07T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.79,"provisorisch"
"2023-01-07T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",10.4,"provisorisch"
"2023-01-07T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",35.3,"provisorisch"
"2023-01-07T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",54.83,"provisorisch"
"2023-01-07T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.08,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.26,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",17.72,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",5.36,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",25.67,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",21.11,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",8.93,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",7.54,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",43.57,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",10702.2,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",26.3,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",11.61,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",32.49,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",17.68,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",9.65,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",7.71,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",31.38,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",12183.58,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",36.48,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",21,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",37.57,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",14.66,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",10.29,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",7.64,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",27.92,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-08T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",5.16,"provisorisch"
"2023-01-08T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.55,"provisorisch"
"2023-01-08T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",9.03,"provisorisch"
"2023-01-08T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",46.85,"provisorisch"
"2023-01-08T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",57.39,"provisorisch"
"2023-01-08T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",0.98,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.16,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",5.81,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",1.81,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",8.34,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",66.73,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",3.29,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",2.36,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",78.64,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",4831.95,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",6.41,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",2.45,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",8.51,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",69.4,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",3.97,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",1.76,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",80.6,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",4596.66,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",25.71,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",15.09,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",26.03,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",53.53,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",4.25,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",2,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",72.2,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-09T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",2.57,"provisorisch"
