date,station,quartier,temperature
2022-01-26T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,4.45
2022-01-27T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,6.5
2022-01-27T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,6.14
2022-01-27T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,6.79
2022-01-28T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,8.69
2022-01-28T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,8.81
2022-01-28T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,9.04
2022-01-29T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,9.1
2022-01-29T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,9.1
2022-01-29T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,9.18
2022-01-30T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,4.98
2022-01-30T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,5.19
2022-01-30T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,4.92
2022-01-31T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,4.01
2022-01-31T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,3.99
2022-01-31T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,3.58
2022-02-01T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,7.75
2022-02-01T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,7.73
2022-02-01T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,7.17
2022-02-02T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,8.98
2022-02-02T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,9.34
2022-02-02T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,8.98
2022-02-03T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,7.8
2022-02-03T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,7.89
2022-02-03T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,7.75
2022-02-04T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,7.52
2022-02-04T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,7.9
2022-02-04T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,7.73
2022-02-05T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,7.37
2022-02-05T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,7.67
2022-02-05T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,7.38
2022-02-06T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,7.36
2022-02-06T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,7.74
2022-02-06T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,7.26
2022-02-07T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,8.85
2022-02-07T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,8.75
2022-02-07T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,9.03
2022-02-08T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,10.95
2022-02-08T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,10.21
2022-02-08T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,11.26
2022-02-09T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,12.09
2022-02-09T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,12.34
2022-02-09T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,12.23
2022-02-10T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,7.83
2022-02-10T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,7.42
2022-02-10T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,6.95
2022-02-11T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,5.4
2022-02-11T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,5.41
2022-02-11T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,6.12
2022-02-12T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,9.97
2022-02-12T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,9.7
2022-02-12T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,9.96
2022-02-13T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,9.26
2022-02-13T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,9.68
2022-02-13T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,9.59
2022-02-14T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,7.57
2022-02-14T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,7.11
2022-02-14T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,7.83
2022-02-15T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,9.46
2022-02-15T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,9.58
2022-02-15T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,8.31
2022-02-16T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,13.61
