year,station,quartier,mean_nox
2018,Zch_Schimmelstrasse,Sihlfeld,40.23518005540166
2018,Zch_Stampfenbachstrasse,Rathaus,25.332884615384614
2019,Zch_Heubeeribüel,Fluntern,8.32398891966759
2019,Zch_Rosengartenstrasse,Wipkingen,51.428438356164385
2019,Zch_Schimmelstrasse,Sihlfeld,37.264545454545456
2019,Zch_Stampfenbachstrasse,Rathaus,23.108246575342466
2020,Zch_Heubeeribüel,Fluntern,7.9559331476323125
2020,Zch_Rosengartenstrasse,Wipkingen,41.063753424657534
2020,Zch_Schimmelstrasse,Sihlfeld,30.88614730878187
2020,Zch_Stampfenbachstrasse,Rathaus,20.281456043956045
2021,Zch_Heubeeribüel,Fluntern,7.689832402234637
2021,Zch_Rosengartenstrasse,Wipkingen,39.00864406779661
2021,Zch_Schimmelstrasse,Sihlfeld,29.803509749303622
2021,Zch_Stampfenbachstrasse,Rathaus,18.747403314917126
2022,Zch_Heubeeribüel,Fluntern,6.541380281690141
2022,Zch_Rosengartenstrasse,Wipkingen,34.701939058171746
2022,Zch_Schimmelstrasse,Sihlfeld,29.270054945054945
2022,Zch_Stampfenbachstrasse,Rathaus,18.009505494505493
