quartier,pflanzjahr,tree_count,crown_sum,total_sum,tree_sum
Lindenhof,2012,0,NA,NA,171
Lindenhof,2013,1,5,1,172
Lindenhof,2014,9,38,9,181
Lindenhof,2015,120,489,120,301
Lindenhof,2016,1,5,1,302
Lindenhof,2017,2,6,2,304
Lindenhof,2018,0,NA,NA,304
Lindenhof,2019,5,10,5,309
Lindenhof,2020,1,4,1,310
Lindenhof,2021,1,3,1,311
Lindenhof,2022,6,15,6,317
Lindenhof,2023,0,NA,NA,317
Mühlebach,1983,0,NA,NA,0
Mühlebach,1984,0,NA,NA,0
Mühlebach,1985,8,42,8,8
Mühlebach,1986,0,NA,NA,8
Mühlebach,1987,0,NA,NA,8
Mühlebach,1988,0,NA,NA,8
Mühlebach,1989,1,3,1,9
Mühlebach,1990,21,137,21,30
Mühlebach,1991,0,NA,NA,30
Mühlebach,1992,47,348,47,77
Mühlebach,1993,8,40,8,85
Mühlebach,1994,6,31,6,91
Mühlebach,1995,15,99,15,106
Mühlebach,1996,1,5,1,107
Mühlebach,1997,7,38,7,114
Mühlebach,1998,4,34,4,118
Mühlebach,1999,1,8,1,119
Mühlebach,2000,23,138,23,142
Mühlebach,2001,4,24,4,146
Mühlebach,2002,0,NA,NA,146
Mühlebach,2003,0,NA,NA,146
Mühlebach,2004,4,24,4,150
Mühlebach,2005,24,167,24,174
Mühlebach,2006,0,NA,NA,174
Mühlebach,2007,2,11,2,176
Mühlebach,2008,9,18,9,185
Mühlebach,2009,1,5,1,186
Mühlebach,2010,29,161,29,215
Mühlebach,2011,16,76,16,231
Mühlebach,2012,2,7,2,233
Mühlebach,2013,0,NA,NA,233
Mühlebach,2014,0,NA,NA,233
Mühlebach,2015,2,7,2,235
Mühlebach,2016,7,21,7,242
Mühlebach,2017,1,3,1,243
Mühlebach,2018,0,NA,NA,243
Mühlebach,2019,3,8,3,246
Mühlebach,2020,0,NA,NA,246
Mühlebach,2021,0,NA,NA,246
Mühlebach,2022,5,11,5,251
Mühlebach,2023,0,NA,NA,251
Oberstrass,1983,0,NA,NA,0
Oberstrass,1984,0,NA,NA,0
Oberstrass,1985,79,785,79,79
Oberstrass,1986,0,NA,NA,79
Oberstrass,1987,0,NA,NA,79
Oberstrass,1988,1,11,1,80
Oberstrass,1989,0,NA,NA,80
Oberstrass,1990,193,1806,193,273
Oberstrass,1991,7,56,7,280
Oberstrass,1992,13,96,13,293
Oberstrass,1993,2,16,2,295
Oberstrass,1994,6,50,6,301
Oberstrass,1995,182,1539,182,483
Oberstrass,1996,1,8,1,484
Oberstrass,1997,9,88,9,493
Oberstrass,1998,5,31,5,498
Oberstrass,1999,5,30,5,503
Oberstrass,2000,195,1334,195,698
Oberstrass,2001,0,NA,NA,698
Oberstrass,2002,0,NA,NA,698
Oberstrass,2003,0,NA,NA,698
Oberstrass,2004,1,7,1,699
Oberstrass,2005,124,777,124,823
Oberstrass,2006,0,NA,NA,823
Oberstrass,2007,21,114,21,844
Oberstrass,2008,18,100,18,862
Oberstrass,2009,8,55,8,870
Oberstrass,2010,64,336,64,934
Oberstrass,2011,3,10,3,937
Oberstrass,2012,8,35,8,945
Oberstrass,2013,5,20,5,950
Oberstrass,2014,0,NA,NA,950
Oberstrass,2015,43,140,43,993
Oberstrass,2016,51,171,51,1044
Oberstrass,2017,39,206,39,1083
Oberstrass,2018,47,142,47,1130
Oberstrass,2019,27,53,27,1157
Oberstrass,2020,55,119,55,1212
Oberstrass,2021,17,49,17,1229
Oberstrass,2022,10,19,10,1239
Oberstrass,2023,0,NA,NA,1239
Oerlikon,1983,0,NA,NA,0
Oerlikon,1984,0,NA,NA,0
Oerlikon,1985,13,103,13,13
Oerlikon,1986,0,NA,NA,13
Oerlikon,1987,20,166,20,33
Oerlikon,1988,16,156,16,49
Oerlikon,1989,0,NA,NA,49
Oerlikon,1990,46,386,46,95
Oerlikon,1991,16,111,16,111
Oerlikon,1992,2,16,2,113
Oerlikon,1993,7,51,7,120
Oerlikon,1994,7,44,7,127
Oerlikon,1995,19,120,19,146
Oerlikon,1996,9,65,9,155
Oerlikon,1997,10,62,10,165
Oerlikon,1998,6,42,6,171
Oerlikon,1999,6,28,6,177
Oerlikon,2000,94,433,94,271
Oerlikon,2001,4,24,4,275
Oerlikon,2002,8,45,8,283
Oerlikon,2003,48,237,48,331
Oerlikon,2004,149,815,149,480
Oerlikon,2005,594,2516,594,1074
Oerlikon,2006,99,438,99,1173
Oerlikon,2007,144,641,144,1317
Oerlikon,2008,41,172,41,1358
Oerlikon,2009,46,181,46,1404
Oerlikon,2010,95,383,95,1499
Oerlikon,2011,22,87,22,1521
Oerlikon,2012,9,28,9,1530
Oerlikon,2013,42,156,42,1572
Oerlikon,2014,32,105,32,1604
Oerlikon,2015,77,240,77,1681
Oerlikon,2016,24,50,24,1705
Oerlikon,2017,50,182,50,1755
Oerlikon,2018,248,728,248,2003
Oerlikon,2019,60,153,60,2063
Oerlikon,2020,85,157,85,2148
Oerlikon,2021,41,83,41,2189
Oerlikon,2022,50,92,50,2239
Oerlikon,2023,0,NA,NA,2239
Rathaus,1983,0,NA,NA,0
Rathaus,1984,0,NA,NA,0
Rathaus,1985,0,NA,NA,0
Rathaus,1986,0,NA,NA,0
Rathaus,1987,0,NA,NA,0
Rathaus,1988,0,NA,NA,0
Rathaus,1989,0,NA,NA,0
Rathaus,1990,3,21,3,3
Rathaus,1991,14,110,14,17
Rathaus,1992,2,19,2,19
Rathaus,1993,2,16,2,21
Rathaus,1994,0,NA,NA,21
Rathaus,1995,2,14,2,23
Rathaus,1996,0,NA,NA,23
Rathaus,1997,1,6,1,24
Rathaus,1998,1,5,1,25
Rathaus,1999,2,16,2,27
Rathaus,2000,3,18,3,30
Rathaus,2001,0,NA,NA,30
Rathaus,2002,0,NA,NA,30
Rathaus,2003,0,NA,NA,30
Rathaus,2004,4,18,4,34
Rathaus,2005,2,18,2,36
Rathaus,2006,8,44,8,44
Rathaus,2007,17,99,17,61
Rathaus,2008,7,28,7,68
Rathaus,2009,1,6,1,69
Rathaus,2010,6,23,6,75
Rathaus,2011,2,7,2,77
Rathaus,2012,1,6,1,78
Rathaus,2013,1,4,1,79
Rathaus,2014,1,3,1,80
Rathaus,2015,1,3,1,81
Rathaus,2016,3,11,3,84
Rathaus,2017,5,17,5,89
Rathaus,2018,5,20,5,94
Rathaus,2019,5,14,5,99
Rathaus,2020,7,19,7,106
Rathaus,2021,2,6,2,108
Rathaus,2022,9,19,9,117
Rathaus,2023,0,NA,NA,117
Saatlen,1983,10,55,10,10
Saatlen,1984,0,NA,NA,10
Saatlen,1985,29,268,29,39
Saatlen,1986,0,NA,NA,39
Saatlen,1987,0,NA,NA,39
Saatlen,1988,0,NA,NA,39
Saatlen,1989,0,NA,NA,39
Saatlen,1990,41,370,41,80
Saatlen,1991,0,NA,NA,80
Saatlen,1992,0,NA,NA,80
Saatlen,1993,0,NA,NA,80
Saatlen,1994,1,4,1,81
Saatlen,1995,51,358,51,132
Saatlen,1996,1,4,1,133
Saatlen,1997,0,NA,NA,133
Saatlen,1998,15,99,15,148
Saatlen,1999,0,NA,NA,148
Saatlen,2000,49,344,49,197
Saatlen,2001,0,NA,NA,197
Saatlen,2002,5,27,5,202
Saatlen,2003,8,33,8,210
Saatlen,2004,20,112,20,230
Saatlen,2005,46,206,46,276
Saatlen,2006,37,117,37,313
Saatlen,2007,25,110,25,338
Saatlen,2008,97,450,97,435
Saatlen,2009,10,29,10,445
Saatlen,2010,28,121,28,473
Saatlen,2011,25,89,25,498
Saatlen,2012,3,8,3,501
Saatlen,2013,3,19,3,504
Saatlen,2014,1,4,1,505
Saatlen,2015,28,107,28,533
Saatlen,2016,4,19,4,537
Saatlen,2017,3,9,3,540
Saatlen,2018,9,18,9,549
Saatlen,2019,31,76,31,580
Saatlen,2020,6,8,6,586
Saatlen,2021,24,48,24,610
Saatlen,2022,84,187,84,694
Saatlen,2023,0,NA,NA,694
Schwamendingen-Mitte,1983,0,NA,NA,0
Schwamendingen-Mitte,1984,0,NA,NA,0
Schwamendingen-Mitte,1985,32,220,32,32
Schwamendingen-Mitte,1986,57,561,57,89
Schwamendingen-Mitte,1987,0,NA,NA,89
Schwamendingen-Mitte,1988,1,8,1,90
Schwamendingen-Mitte,1989,0,NA,NA,90
Schwamendingen-Mitte,1990,65,413,65,155
Schwamendingen-Mitte,1991,0,NA,NA,155
Schwamendingen-Mitte,1992,2,17,2,157
Schwamendingen-Mitte,1993,1,6,1,158
Schwamendingen-Mitte,1994,27,215,27,185
Schwamendingen-Mitte,1995,54,401,54,239
Schwamendingen-Mitte,1996,16,128,16,255
Schwamendingen-Mitte,1997,3,21,3,258
Schwamendingen-Mitte,1998,10,54,10,268
Schwamendingen-Mitte,1999,0,NA,NA,268
Schwamendingen-Mitte,2000,67,511,67,335
Schwamendingen-Mitte,2001,12,63,12,347
Schwamendingen-Mitte,2002,19,106,19,366
Schwamendingen-Mitte,2003,31,156,31,397
Schwamendingen-Mitte,2004,36,173,36,433
Schwamendingen-Mitte,2005,91,474,91,524
Schwamendingen-Mitte,2006,53,260,53,577
Schwamendingen-Mitte,2007,17,70,17,594
Schwamendingen-Mitte,2008,34,203,34,628
Schwamendingen-Mitte,2009,27,127,27,655
Schwamendingen-Mitte,2010,94,386,94,749
Schwamendingen-Mitte,2011,43,226,43,792
Schwamendingen-Mitte,2012,15,67,15,807
Schwamendingen-Mitte,2013,11,50,11,818
Schwamendingen-Mitte,2014,2,13,2,820
Schwamendingen-Mitte,2015,44,181,44,864
Schwamendingen-Mitte,2016,16,71,16,880
Schwamendingen-Mitte,2017,19,54,19,899
Schwamendingen-Mitte,2018,11,46,11,910
Schwamendingen-Mitte,2019,13,50,13,923
Schwamendingen-Mitte,2020,25,54,25,948
Schwamendingen-Mitte,2021,24,37,24,972
Schwamendingen-Mitte,2022,176,573,176,1148
Schwamendingen-Mitte,2023,0,NA,NA,1148
Seebach,1983,1,6,1,1
Seebach,1984,0,NA,NA,1
Seebach,1985,77,644,77,78
Seebach,1986,0,NA,NA,78
Seebach,1987,0,NA,NA,78
Seebach,1988,0,NA,NA,78
Seebach,1989,0,NA,NA,78
Seebach,1990,158,1075,158,236
Seebach,1991,0,NA,NA,236
Seebach,1992,0,NA,NA,236
Seebach,1993,0,NA,NA,236
Seebach,1994,1,7,1,237
Seebach,1995,136,999,136,373
Seebach,1996,4,25,4,377
Seebach,1997,6,41,6,383
Seebach,1998,2,12,2,385
Seebach,1999,5,42,5,390
Seebach,2000,176,1133,176,566
Seebach,2001,13,41,13,579
Seebach,2002,0,NA,NA,579
Seebach,2003,19,148,19,598
Seebach,2004,48,285,48,646
Seebach,2005,147,674,147,793
Seebach,2006,108,546,108,901
Seebach,2007,183,857,183,1084
Seebach,2008,267,882,267,1351
Seebach,2009,111,479,111,1462
Seebach,2010,37,205,37,1499
Seebach,2011,71,286,71,1570
Seebach,2012,24,102,24,1594
Seebach,2013,50,280,50,1644
Seebach,2014,20,83,20,1664
Seebach,2015,26,109,26,1690
Seebach,2016,39,225,39,1729
Seebach,2017,53,227,53,1782
Seebach,2018,54,265,54,1836
Seebach,2019,34,104,34,1870
Seebach,2020,33,127,33,1903
Seebach,2021,29,145,29,1932
Seebach,2022,84,316,84,2016
Seebach,2023,0,NA,NA,2016
Seefeld,1983,0,NA,NA,0
Seefeld,1984,1,8,1,1
Seefeld,1985,48,403,48,49
Seefeld,1986,5,32,5,54
Seefeld,1987,1,10,1,55
Seefeld,1988,15,140,15,70
Seefeld,1989,11,74,11,81
Seefeld,1990,61,535,61,142
Seefeld,1991,10,87,10,152
Seefeld,1992,10,74,10,162
Seefeld,1993,3,24,3,165
Seefeld,1994,28,208,28,193
Seefeld,1995,34,260,34,227
Seefeld,1996,9,70,9,236
Seefeld,1997,7,61,7,243
Seefeld,1998,54,262,54,297
Seefeld,1999,9,83,9,306
Seefeld,2000,57,332,57,363
Seefeld,2001,7,35,7,370
Seefeld,2002,4,24,4,374
Seefeld,2003,3,12,3,377
Seefeld,2004,32,186,32,409
Seefeld,2005,33,204,33,442
Seefeld,2006,54,311,54,496
Seefeld,2007,53,270,53,549
Seefeld,2008,77,432,77,626
Seefeld,2009,7,36,7,633
Seefeld,2010,28,118,28,661
Seefeld,2011,24,107,24,685
Seefeld,2012,10,39,10,695
Seefeld,2013,0,NA,NA,695
Seefeld,2014,24,107,24,719
Seefeld,2015,6,25,6,725
Seefeld,2016,5,15,5,730
Seefeld,2017,7,18,7,737
Seefeld,2018,9,35,9,746
Seefeld,2019,19,58,19,765
Seefeld,2020,58,139,58,823
Seefeld,2021,35,93,35,858
Seefeld,2022,26,54,26,884
Seefeld,2023,0,NA,NA,884
Sihlfeld,1983,0,NA,NA,0
Sihlfeld,1984,1,5,1,1
Sihlfeld,1985,45,351,45,46
Sihlfeld,1986,1,4,1,47
Sihlfeld,1987,0,NA,NA,47
Sihlfeld,1988,1,5,1,48
Sihlfeld,1989,0,NA,NA,48
Sihlfeld,1990,135,1119,135,183
Sihlfeld,1991,3,24,3,186
Sihlfeld,1992,0,NA,NA,186
Sihlfeld,1993,0,NA,NA,186
Sihlfeld,1994,0,NA,NA,186
Sihlfeld,1995,97,651,97,283
Sihlfeld,1996,3,17,3,286
Sihlfeld,1997,3,24,3,289
Sihlfeld,1998,3,19,3,292
Sihlfeld,1999,3,17,3,295
Sihlfeld,2000,109,685,109,404
Sihlfeld,2001,3,30,3,407
Sihlfeld,2002,2,12,2,409
Sihlfeld,2003,8,48,8,417
Sihlfeld,2004,40,255,40,457
Sihlfeld,2005,121,668,121,578
Sihlfeld,2006,88,550,88,666
Sihlfeld,2007,22,127,22,688
Sihlfeld,2008,42,218,42,730
Sihlfeld,2009,27,164,27,757
Sihlfeld,2010,32,135,32,789
Sihlfeld,2011,103,539,103,892
Sihlfeld,2012,41,174,41,933
Sihlfeld,2013,60,311,60,993
Sihlfeld,2014,24,104,24,1017
Sihlfeld,2015,172,525,172,1189
Sihlfeld,2016,29,111,29,1218
Sihlfeld,2017,47,138,47,1265
Sihlfeld,2018,34,119,34,1299
Sihlfeld,2019,13,34,13,1312
Sihlfeld,2020,10,26,10,1322
Sihlfeld,2021,95,196,95,1417
Sihlfeld,2022,193,385,193,1610
Sihlfeld,2023,0,NA,NA,1610
Unterstrass,1983,0,NA,NA,0
Unterstrass,1984,0,NA,NA,0
Unterstrass,1985,307,2738,307,307
Unterstrass,1986,0,NA,NA,307
Unterstrass,1987,0,NA,NA,307
Unterstrass,1988,1,14,1,308
Unterstrass,1989,6,55,6,314
Unterstrass,1990,435,3666,435,749
Unterstrass,1991,24,249,24,773
Unterstrass,1992,1,3,1,774
Unterstrass,1993,0,NA,NA,774
Unterstrass,1994,0,NA,NA,774
Unterstrass,1995,277,2203,277,1051
Unterstrass,1996,0,NA,NA,1051
Unterstrass,1997,8,49,8,1059
Unterstrass,1998,12,57,12,1071
Unterstrass,1999,13,80,13,1084
Unterstrass,2000,257,1761,257,1341
Unterstrass,2001,0,NA,NA,1341
Unterstrass,2002,9,62,9,1350
Unterstrass,2003,3,15,3,1353
Unterstrass,2004,46,261,46,1399
Unterstrass,2005,158,910,158,1557
Unterstrass,2006,60,325,60,1617
Unterstrass,2007,100,558,100,1717
Unterstrass,2008,63,299,63,1780
Unterstrass,2009,27,128,27,1807
Unterstrass,2010,64,320,64,1871
Unterstrass,2011,24,115,24,1895
Unterstrass,2012,28,98,28,1923
Unterstrass,2013,24,98,24,1947
Unterstrass,2014,39,154,39,1986
Unterstrass,2015,126,406,126,2112
Unterstrass,2016,76,264,76,2188
Unterstrass,2017,76,223,76,2264
Unterstrass,2018,77,237,77,2341
Unterstrass,2019,48,131,48,2389
Unterstrass,2020,102,230,102,2491
Unterstrass,2021,132,285,132,2623
Unterstrass,2022,229,454,229,2852
Unterstrass,2023,52,114,52,2904
Weinegg,1983,0,NA,NA,0
Weinegg,1984,1,6,1,1
Weinegg,1985,17,174,17,18
Weinegg,1986,30,237,30,48
Weinegg,1987,1,5,1,49
Weinegg,1988,1,6,1,50
Weinegg,1989,21,163,21,71
Weinegg,1990,79,542,79,150
Weinegg,1991,1,8,1,151
Weinegg,1992,8,58,8,159
Weinegg,1993,12,84,12,171
Weinegg,1994,1,5,1,172
Weinegg,1995,113,739,113,285
Weinegg,1996,3,21,3,288
Weinegg,1997,3,13,3,291
Weinegg,1998,48,351,48,339
Weinegg,1999,7,46,7,346
Weinegg,2000,220,1622,220,566
Weinegg,2001,16,92,16,582
Weinegg,2002,5,31,5,587
Weinegg,2003,18,110,18,605
Weinegg,2004,31,183,31,636
Weinegg,2005,41,204,41,677
Weinegg,2006,82,551,82,759
Weinegg,2007,14,66,14,773
Weinegg,2008,9,61,9,782
Weinegg,2009,8,50,8,790
Weinegg,2010,59,263,59,849
Weinegg,2011,28,115,28,877
Weinegg,2012,37,227,37,914
Weinegg,2013,28,189,28,942
Weinegg,2014,21,135,21,963
Weinegg,2015,21,70,21,984
Weinegg,2016,30,90,30,1014
Weinegg,2017,6,16,6,1020
Weinegg,2018,16,67,16,1036
Weinegg,2019,9,30,9,1045
Weinegg,2020,10,75,10,1055
Weinegg,2021,5,35,5,1060
Weinegg,2022,7,26,7,1067
Weinegg,2023,0,NA,NA,1067
Werd,1983,0,NA,NA,0
Werd,1984,0,NA,NA,0
Werd,1985,0,NA,NA,0
Werd,1986,0,NA,NA,0
Werd,1987,0,NA,NA,0
Werd,1988,0,NA,NA,0
Werd,1989,0,NA,NA,0
Werd,1990,5,52,5,5
Werd,1991,0,NA,NA,5
Werd,1992,0,NA,NA,5
Werd,1993,0,NA,NA,5
Werd,1994,1,6,1,6
Werd,1995,0,NA,NA,6
Werd,1996,0,NA,NA,6
Werd,1997,8,64,8,14
Werd,1998,0,NA,NA,14
Werd,1999,0,NA,NA,14
Werd,2000,142,559,142,156
Werd,2001,0,NA,NA,156
Werd,2002,0,NA,NA,156
Werd,2003,1,5,1,157
Werd,2004,2,6,2,159
Werd,2005,8,24,8,167
Werd,2006,9,29,9,176
Werd,2007,3,12,3,179
Werd,2008,13,82,13,192
Werd,2009,19,95,19,211
Werd,2010,0,NA,NA,211
Werd,2011,4,22,4,215
Werd,2012,10,30,10,225
Werd,2013,4,15,4,229
Werd,2014,11,37,11,240
Werd,2015,1,3,1,241
Werd,2016,1,3,1,242
Werd,2017,5,10,5,247
Werd,2018,4,12,4,251
Werd,2019,2,5,2,253
Werd,2020,9,22,9,262
Werd,2021,0,NA,NA,262
Werd,2022,11,23,11,273
Werd,2023,0,NA,NA,273
Wipkingen,1983,0,NA,NA,0
Wipkingen,1984,0,NA,NA,0
Wipkingen,1985,8,45,8,8
Wipkingen,1986,0,NA,NA,8
Wipkingen,1987,0,NA,NA,8
Wipkingen,1988,0,NA,NA,8
Wipkingen,1989,0,NA,NA,8
Wipkingen,1990,55,464,55,63
Wipkingen,1991,19,152,19,82
Wipkingen,1992,0,NA,NA,82
Wipkingen,1993,0,NA,NA,82
Wipkingen,1994,1,8,1,83
Wipkingen,1995,9,68,9,92
Wipkingen,1996,10,63,10,102
Wipkingen,1997,3,26,3,105
Wipkingen,1998,13,89,13,118
Wipkingen,1999,30,286,30,148
Wipkingen,2000,19,117,19,167
Wipkingen,2001,6,36,6,173
Wipkingen,2002,4,23,4,177
Wipkingen,2003,7,33,7,184
Wipkingen,2004,23,147,23,207
Wipkingen,2005,42,207,42,249
Wipkingen,2006,32,157,32,281
Wipkingen,2007,23,112,23,304
Wipkingen,2008,12,49,12,316
Wipkingen,2009,14,60,14,330
Wipkingen,2010,20,88,20,350
Wipkingen,2011,5,18,5,355
Wipkingen,2012,34,131,34,389
Wipkingen,2013,19,84,19,408
Wipkingen,2014,6,22,6,414
Wipkingen,2015,60,233,60,474
Wipkingen,2016,20,65,20,494
Wipkingen,2017,24,62,24,518
Wipkingen,2018,52,134,52,570
Wipkingen,2019,22,69,22,592
Wipkingen,2020,35,83,35,627
Wipkingen,2021,61,231,61,688
Wipkingen,2022,67,165,67,755
Wipkingen,2023,1,2,1,756
Witikon,1983,0,NA,NA,0
Witikon,1984,4,18,4,4
Witikon,1985,43,295,43,47
Witikon,1986,5,28,5,52
Witikon,1987,1,3,1,53
Witikon,1988,9,47,9,62
Witikon,1989,0,NA,NA,62
Witikon,1990,125,993,125,187
Witikon,1991,12,57,12,199
Witikon,1992,7,48,7,206
Witikon,1993,2,15,2,208
Witikon,1994,15,74,15,223
Witikon,1995,60,362,60,283
Witikon,1996,17,117,17,300
Witikon,1997,10,47,10,310
Witikon,1998,20,112,20,330
Witikon,1999,0,NA,NA,330
Witikon,2000,169,1253,169,499
Witikon,2001,6,26,6,505
Witikon,2002,19,79,19,524
Witikon,2003,5,38,5,529
Witikon,2004,98,379,98,627
Witikon,2005,47,244,47,674
Witikon,2006,51,211,51,725
Witikon,2007,5,21,5,730
Witikon,2008,16,91,16,746
Witikon,2009,8,28,8,754
Witikon,2010,19,95,19,773
Witikon,2011,16,82,16,789
Witikon,2012,1,3,1,790
Witikon,2013,13,54,13,803
Witikon,2014,19,53,19,822
Witikon,2015,11,33,11,833
Witikon,2016,34,222,34,867
Witikon,2017,5,34,5,872
Witikon,2018,12,43,12,884
Witikon,2019,39,152,39,923
Witikon,2020,47,129,47,970
Witikon,2021,52,129,52,1022
Witikon,2022,18,96,18,1040
Witikon,2023,29,58,29,1069
Wollishofen,1983,0,NA,NA,0
Wollishofen,1984,1,12,1,1
Wollishofen,1985,143,1071,143,144
Wollishofen,1986,11,80,11,155
Wollishofen,1987,5,41,5,160
Wollishofen,1988,2,16,2,162
Wollishofen,1989,1,6,1,163
Wollishofen,1990,193,1318,193,356
Wollishofen,1991,18,136,18,374
Wollishofen,1992,13,94,13,387
Wollishofen,1993,1,12,1,388
Wollishofen,1994,2,8,2,390
Wollishofen,1995,159,1093,159,549
Wollishofen,1996,6,32,6,555
Wollishofen,1997,5,41,5,560
Wollishofen,1998,28,171,28,588
Wollishofen,1999,3,18,3,591
Wollishofen,2000,182,1118,182,773
Wollishofen,2001,19,85,19,792
Wollishofen,2002,43,202,43,835
Wollishofen,2003,69,367,69,904
Wollishofen,2004,52,203,52,956
Wollishofen,2005,192,1149,192,1148
Wollishofen,2006,53,265,53,1201
Wollishofen,2007,47,276,47,1248
Wollishofen,2008,100,485,100,1348
Wollishofen,2009,62,201,62,1410
Wollishofen,2010,393,1612,393,1803
Wollishofen,2011,129,430,129,1932
Wollishofen,2012,122,376,122,2054
Wollishofen,2013,68,185,68,2122
Wollishofen,2014,38,127,38,2160
Wollishofen,2015,50,107,50,2210
Wollishofen,2016,109,285,109,2319
Wollishofen,2017,81,256,81,2400
Wollishofen,2018,76,208,76,2476
Wollishofen,2019,60,136,60,2536
Wollishofen,2020,149,277,149,2685
Wollishofen,2021,204,881,204,2889
Wollishofen,2022,263,591,263,3152
Wollishofen,2023,0,NA,NA,3152
