year,station,temperature
2022,Zch_Schimmelstrasse,8.45
2022,Zch_Rosengartenstrasse,8.37
2022,Zch_Stampfenbachstrasse,11.15
2022,Zch_Schimmelstrasse,11.13
2022,Zch_Rosengartenstrasse,11.54
2022,Zch_Stampfenbachstrasse,9.96
2022,Zch_Schimmelstrasse,10.29
2022,Zch_Rosengartenstrasse,9.95
2022,Zch_Stampfenbachstrasse,9
2022,Zch_Schimmelstrasse,9.31
2022,Zch_Rosengartenstrasse,9.24
2022,Zch_Stampfenbachstrasse,11.36
2022,Zch_Schimmelstrasse,11.59
2022,Zch_Rosengartenstrasse,11.59
2022,Zch_Stampfenbachstrasse,11.26
2022,Zch_Schimmelstrasse,11.5
2022,Zch_Rosengartenstrasse,11.26
2022,Zch_Stampfenbachstrasse,7.41
2022,Zch_Schimmelstrasse,7.2
2022,Zch_Rosengartenstrasse,7.47
2022,Zch_Stampfenbachstrasse,6.66
2022,Zch_Schimmelstrasse,6.35
2022,Zch_Rosengartenstrasse,6.63
2022,Zch_Stampfenbachstrasse,7.35
2022,Zch_Schimmelstrasse,7.27
2022,Zch_Rosengartenstrasse,7.3
2022,Zch_Stampfenbachstrasse,8.14
2022,Zch_Schimmelstrasse,7.99
2022,Zch_Rosengartenstrasse,8
2022,Zch_Stampfenbachstrasse,8.47
2022,Zch_Schimmelstrasse,8.75
2022,Zch_Rosengartenstrasse,8.73
2022,Zch_Stampfenbachstrasse,10.27
2022,Zch_Schimmelstrasse,10.48
2022,Zch_Rosengartenstrasse,10.8
2022,Zch_Stampfenbachstrasse,12.45
2022,Zch_Schimmelstrasse,12.62
2022,Zch_Rosengartenstrasse,12.71
2022,Zch_Stampfenbachstrasse,8.87
2022,Zch_Schimmelstrasse,8.59
2022,Zch_Rosengartenstrasse,8.68
2022,Zch_Stampfenbachstrasse,6.7
2022,Zch_Schimmelstrasse,6.7
2022,Zch_Rosengartenstrasse,6.78
2022,Zch_Stampfenbachstrasse,5.3
2022,Zch_Schimmelstrasse,5.15
2022,Zch_Rosengartenstrasse,5.23
2022,Zch_Stampfenbachstrasse,5.26
2022,Zch_Schimmelstrasse,5.36
2022,Zch_Rosengartenstrasse,5.39
2022,Zch_Stampfenbachstrasse,6.94
2022,Zch_Schimmelstrasse,7.02
2022,Zch_Rosengartenstrasse,6.92
2022,Zch_Stampfenbachstrasse,12.12
2022,Zch_Schimmelstrasse,12.3
2022,Zch_Rosengartenstrasse,12.43
2022,Zch_Stampfenbachstrasse,13.29
2022,Zch_Schimmelstrasse,13.53
2022,Zch_Rosengartenstrasse,13.63
2022,Zch_Stampfenbachstrasse,12.97
2022,Zch_Schimmelstrasse,13.44
2022,Zch_Rosengartenstrasse,13.05
2022,Zch_Stampfenbachstrasse,13.39
2022,Zch_Schimmelstrasse,13.77
2022,Zch_Rosengartenstrasse,13.61
2022,Zch_Stampfenbachstrasse,16.23
2022,Zch_Schimmelstrasse,16.62
2022,Zch_Rosengartenstrasse,16.52
2022,Zch_Stampfenbachstrasse,14.48
2022,Zch_Schimmelstrasse,14.39
2022,Zch_Rosengartenstrasse,14.69
2022,Zch_Stampfenbachstrasse,9.86
2022,Zch_Schimmelstrasse,9.78
2022,Zch_Rosengartenstrasse,9.73
2022,Zch_Stampfenbachstrasse,14.98
2022,Zch_Schimmelstrasse,15.38
2022,Zch_Rosengartenstrasse,15.07
2022,Zch_Stampfenbachstrasse,14.89
2022,Zch_Schimmelstrasse,15.29
2022,Zch_Rosengartenstrasse,15.08
2022,Zch_Stampfenbachstrasse,11.25
2022,Zch_Schimmelstrasse,11.64
2022,Zch_Rosengartenstrasse,11.37
2022,Zch_Stampfenbachstrasse,12.46
2022,Zch_Schimmelstrasse,12.46
2022,Zch_Rosengartenstrasse,12.42
2022,Zch_Stampfenbachstrasse,16.05
2022,Zch_Schimmelstrasse,16.24
2022,Zch_Rosengartenstrasse,16.47
2022,Zch_Stampfenbachstrasse,15.77
2022,Zch_Schimmelstrasse,16.12
2022,Zch_Rosengartenstrasse,15.89
2022,Zch_Stampfenbachstrasse,16.5
2022,Zch_Schimmelstrasse,16.53
2022,Zch_Rosengartenstrasse,16.68
2022,Zch_Stampfenbachstrasse,17.87
2022,Zch_Schimmelstrasse,17.92
2022,Zch_Rosengartenstrasse,18.51
2022,Zch_Stampfenbachstrasse,18.29
2022,Zch_Schimmelstrasse,18.49
2022,Zch_Rosengartenstrasse,18.86
2022,Zch_Stampfenbachstrasse,18.73
2022,Zch_Schimmelstrasse,18.71
2022,Zch_Rosengartenstrasse,18.74
2022,Zch_Stampfenbachstrasse,19.02
2022,Zch_Schimmelstrasse,19.1
2022,Zch_Rosengartenstrasse,19.16
2022,Zch_Stampfenbachstrasse,19.4
2022,Zch_Schimmelstrasse,19.58
2022,Zch_Rosengartenstrasse,19.64
2022,Zch_Stampfenbachstrasse,20.2
2022,Zch_Schimmelstrasse,20.23
2022,Zch_Rosengartenstrasse,20.37
2022,Zch_Stampfenbachstrasse,18.23
2022,Zch_Schimmelstrasse,18.68
