"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-20T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-1.86,"provisorisch"
"2023-01-20T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",11,"provisorisch"
"2023-01-20T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",967.59,"provisorisch"
"2023-01-20T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",0.51,"provisorisch"
"2023-01-20T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-1.94,"provisorisch"
"2023-01-20T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0.12,"provisorisch"
"2023-01-20T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",965.14,"provisorisch"
"2023-01-20T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",0.76,"provisorisch"
"2023-01-21T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-2.09,"provisorisch"
"2023-01-21T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0.65,"provisorisch"
"2023-01-21T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",970.2,"provisorisch"
"2023-01-21T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",45.79,"provisorisch"
"2023-01-21T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.64,"provisorisch"
"2023-01-21T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-2.38,"provisorisch"
"2023-01-21T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",202.1,"provisorisch"
"2023-01-21T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",973.1,"provisorisch"
"2023-01-21T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-0.68,"provisorisch"
"2023-01-21T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-2.59,"provisorisch"
"2023-01-21T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",112.45,"provisorisch"
"2023-01-21T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",970.56,"provisorisch"
"2023-01-21T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",-0.73,"provisorisch"
"2023-01-22T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.38,"provisorisch"
"2023-01-22T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-22T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.96,"provisorisch"
"2023-01-22T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",26.53,"provisorisch"
"2023-01-22T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",0.43,"provisorisch"
"2023-01-22T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-0.51,"provisorisch"
"2023-01-22T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",42.62,"provisorisch"
"2023-01-22T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",975.71,"provisorisch"
"2023-01-22T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",0.4,"provisorisch"
"2023-01-22T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-0.56,"provisorisch"
"2023-01-22T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",16.98,"provisorisch"
