"baumnummer","baumartlat","baumartdt","standort","unterhaltsbezirk","vermessbezirk","faellursache","faellgrund","ersatzplfanzung","neuebaumart","kategorie","objectid","geometry"
"UN-5055","Fraxinus excelsior","Gemeine Esche","Langmauerstrasse","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","Krankheit","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Fraxinus excelsior","Parkbaum","384","POINT (2683251.5 1249291.9)"
"UN-724","Betula pendula","Sand-Birke, Weiss-Birke","Milchbuckstrasse, 14","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Betula pendula","Strassenbaum","385","POINT (2683190.2 1249939.8)"
"UN-736","Betula utilis","Himalaja-Birke","Milchbuckstrasse, 16","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Betula utilis","Strassenbaum","386","POINT (2683201.2 1249914.1)"
"OB-1508","Betula pendula","Sand-Birke, Weiss-Birke","Möhrlistrasse, 118","Wipkingen, Fluntern, Unter-, Oberstrass","Oberstrass","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Betula pendula 'Zwitsers Glorie'","Parkbaum","387","POINT (2683644.5 1249836.2)"
"AA-1085","Aesculus hippocastanum","Gemeine Rosskastanie","Neumühlequai, 6","Wipkingen, Fluntern, Unter-, Oberstrass","Altstadt","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Aesculus x carnea 'Briotii'","Strassenbaum","388","POINT (2683419.5 1247957.9)"
"UN-1209","Aesculus hippocastanum","Gemeine Rosskastanie","Neumühlequai, 26","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Aesculus x carnea 'Briotii'","Strassenbaum","389","POINT (2683312 1248268.1)"
"UN-1210","Aesculus hippocastanum","Gemeine Rosskastanie","Neumühlequai, 26","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Aesculus hippocastanum","Strassenbaum","390","POINT (2683308.8 1248275.4)"
"UN-1217","Aesculus hippocastanum","Gemeine Rosskastanie","Neumühlequai, 30","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Aesculus x carnea 'Briotii'","Strassenbaum","391","POINT (2683282 1248327.5)"
"UN-1240","Aesculus hippocastanum","Gemeine Rosskastanie","Neumühlequai, 40","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Aesculus x carnea 'Briotii'","Strassenbaum","392","POINT (2683220.2 1248449)"
"UN-1207","Aesculus hippocastanum","Gemeine Rosskastanie","Neumühlequai","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Aesculus x carnea 'Briotii'","Strassenbaum","393","POINT (2683318 1248252.9)"
"UN-6901","Acer platanoides","Spitz-Ahorn","Nordstrasse, bei 32","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides","Parkbaum","394","POINT (2683008.8 1248902)"
"OB-3770","Betula pendula","Sand-Birke, Weiss-Birke","Ottikerweg, 51","Wipkingen, Fluntern, Unter-, Oberstrass","Oberstrass","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula 'Zwitsers Glorie'","Parkbaum","395","POINT (2683686 1248917.2)"
"UN-285","Acer platanoides","Spitz-Ahorn","Ringpark; Ringstrasse,","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Acer platanoides","Parkbaum","397","POINT (2683012.2 1251134.4)"
"WP-89","Corylus colurna","Baumhasel","Rötelstrasse, 105","Wipkingen, Fluntern, Unter-, Oberstrass","Wipkingen","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Corylus colurna","Strassenbaum","398","POINT (2682558.2 1250068.2)"
"UN-838","Crataegus x lavalleei","Lederblättriger Weissdorn (crus-galli x pubescens)","Scheuchzerstrasse, 125","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus x lavalleei","Strassenbaum","399","POINT (2683383.8 1249520.1)"
"UN-1011","Crataegus x lavalleei","Lederblättriger Weissdorn (crus-galli x pubescens)","Scheuchzerstrasse, 223","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus x lavalleei","Strassenbaum","400","POINT (2683376.2 1250079)"
"UN-3802","Chamaecyparis lawsoniana","Lawsons Scheinzypresse","Schindlergut; Kronenstrasse, 20221013","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Chamaecyparis lawsoniana","Parkbaum","401","POINT (2682821 1248989)"
"UN-4516","Koelreuteria paniculata","Blasenbaum, Blasenesche","Schindlergut","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","absterbend","Vitalität (absterbend, abgestorben)","in Abklärung","Koelreuteria paniculata","Parkbaum","402","POINT (2682946.2 1248845.4)"
"UN-7236","Cercis siliquastrum","Gewöhnlicher Judasbaum","Schindlerstrasse, 11","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Cercis siliquastrum","Strassenbaum","403","POINT (2682951.8 1249238.2)"
"UN-542","Prunus cerasus cv.","Sauer-Kirsche-Obstgehölz, Sorte unbekannt","Schlatterweg, 18","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus cerasus cv.","Strassenbaum","404","POINT (2683060.8 1249893)"
"UN-4695","Platanus x hispanica","Platane (occidentalis x orientalis)","Schulhaus Milchbuck; Guggachstrasse, 15","Wipkingen, Fluntern, Unter-, Oberstrass","Unterstrass","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Platanus x hispanica","Parkbaum","405","POINT (2683010.2 1250081)"
"FL-6116","Prunus serrulata 'Kanzan'","Japanische Blüten-Kirsche, Japanische Nelken-Kirsche","Spiegelhofstrasse, 43","Wipkingen, Fluntern, Unter-, Oberstrass","Fluntern","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus serrulata 'Kanzan'","Strassenbaum","406","POINT (2684579.8 1247598)"
"OB-202","Sorbus intermedia","Oxelbeere, Schwedische Mehlbeere","Stolzestrasse, 9","Wipkingen, Fluntern, Unter-, Oberstrass","Oberstrass","abgestorben","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Sorbus latifolia 'Henk Vink'","Strassenbaum","407","POINT (2683614.8 1249026.9)"
"WP-3004","Prunus avium","Vogel-Kirsche, Süss-Kirsche","Tièchestrasse, 71","Wipkingen, Fluntern, Unter-, Oberstrass","Wipkingen","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus avium","Strassenbaum","408","POINT (2681940.2 1250336.8)"
"OB-3468","Betula pendula","Sand-Birke, Weiss-Birke","Winterthurerstrasse, 33-39","Wipkingen, Fluntern, Unter-, Oberstrass","Oberstrass","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Betula pendula","Parkbaum","409","POINT (2683691.5 1249098.4)"
"RI-1655","Betula pendula","Sand-Birke, Weiss-Birke","FH Enzenbühl","Witikon, Friedhof Enzenbühl / Rehalp","Riesbach","Sicherheitsrisiko","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Betula pendula","Parkbaum","411","POINT (2686135.8 1245030.2)"
"RI-1781","Fraxinus excelsior 'Pendula'","Gemeine Esche","FH Enzenbühl","Witikon, Friedhof Enzenbühl / Rehalp","Riesbach","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior 'Pendula'","Parkbaum","412","POINT (2686367.8 1245054.5)"
"WD-9162","Acer campestre 'Elsrijk'","Feld-Ahorn, Hecken-Ahorn","Allmend Freestyle Anlage","Wollishofen, Leimbach","Wiedikon","Vandalismus","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer campestre 'Elsrijk'","Parkbaum","413","POINT (2681926.8 1245450.2)"
"WD-2840","Fraxinus excelsior 'Geessink'","Gemeine Esche","Allmendstrasse","Wollishofen, Leimbach","Wiedikon","Unfallschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior 'Geessink'","Strassenbaum","414","POINT (2681864.8 1245626.8)"
"WO-1497","Prunus domestica cv.","Sammelbegriff für Zwetschgen, Pflaume, Reneklode usw. (Sorte unbek.)","Kinderhort Kilchberg; Kilchbergstrasse, 12","Wollishofen, Leimbach","Wollishofen","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus domestica cv.","Parkbaum","416","POINT (2682685 1244113.5)"
"WO-5789","Cercidiphyllum japonicum","Kuchenbaum, Katsurabaum","Schulhaus Entlisberg; Balberstrasse, 71","Wollishofen, Leimbach","Wollishofen","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Cercidiphyllum japonicum","Parkbaum","418","POINT (2682390.2 1243522)"
"WO-1467","Malus domestica 'Gravensteiner'","Apfel-Obstgehölz 'Gravensteiner'","Schulhaus Im Lee; Kilchbergstrasse, 50","Wollishofen, Leimbach","Wollishofen","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Malus domestica 'Gravensteiner'","Parkbaum","419","POINT (2682776 1243800.1)"
"WO-118","Acer platanoides 'Globosum'","Spitz-Ahorn (kugelförmig)","Speerstrasse","Wollishofen, Leimbach","Wollishofen","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides 'Globosum'","Strassenbaum","420","POINT (2682259.2 1243979.6)"
"WO-119","Acer platanoides 'Globosum'","Spitz-Ahorn (kugelförmig)","Speerstrasse","Wollishofen, Leimbach","Wollishofen","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides 'Globosum'","Strassenbaum","421","POINT (2682264.8 1243971.9)"
"WO-127","Acer platanoides 'Globosum'","Spitz-Ahorn (kugelförmig)","Speerstrasse","Wollishofen, Leimbach","Wollishofen","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides 'Globosum'","Strassenbaum","422","POINT (2682382.8 1243821.5)"
"WO-51","Acer platanoides 'Globosum'","Spitz-Ahorn (kugelförmig)","Speerstrasse","Wollishofen, Leimbach","Wollishofen","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides 'Globosum'","Strassenbaum","423","POINT (2682103.8 1244195.5)"
"WO-54","Acer platanoides 'Globosum'","Spitz-Ahorn (kugelförmig)","Speerstrasse","Wollishofen, Leimbach","Wollishofen","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides 'Globosum'","Strassenbaum","424","POINT (2682121 1244171.1)"
"WO-66","Acer platanoides 'Globosum'","Spitz-Ahorn (kugelförmig)","Speerstrasse","Wollishofen, Leimbach","Wollishofen","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides 'Globosum'","Strassenbaum","425","POINT (2682199.5 1244062.5)"
"WO-69","Acer platanoides 'Globosum'","Spitz-Ahorn (kugelförmig)","Speerstrasse","Wollishofen, Leimbach","Wollishofen","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides 'Globosum'","Strassenbaum","426","POINT (2682215.5 1244040.1)"
"WO-6562","Sophora japonica 'Princeton Upright'","Japanischer Schnurbaum","Tannenrauchstrasse, 67","Wollishofen, Leimbach","Wollishofen","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Sophora japonica 'Princeton Upright'","Strassenbaum","427","POINT (2682318.2 1244440.2)"
