"baumnummer","baumartlat","baumartdt","standort","unterhaltsbezirk","vermessbezirk","faellursache","faellgrund","ersatzplfanzung","neuebaumart","kategorie","objectid","geometry"
"AR-484","Prunus serrulata 'Kanzan'","Japanische Blüten-Kirsche, Japanische Nelken-Kirsche","Rautistrasse, 11","Altstetten, Albisrieden","Albisrieden","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Prunus serrulata 'Kanzan'","Strassenbaum","66","POINT (2679733.5 1248198.6)"
"AR-571","Robinia pseudoacacia 'Unifoliola'","Robinie, Schein-Akazie","Rautistrasse, 22","Altstetten, Albisrieden","Albisrieden","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Robinia pseudoacacia 'Unifoliola'","Strassenbaum","67","POINT (2679552.8 1248336.8)"
"AL-1361","Prunus cerasifera 'Woodii'","Kirschpflaume","Rautistrasse, 106","Altstetten, Albisrieden","Altstetten","Sicherheitsrisiko","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Prunus cerasifera 'Woodii'","Strassenbaum","68","POINT (2679124.2 1248519.8)"
"AL-2250","Prunus cerasifera 'Woodii'","Kirschpflaume","Rautistrasse, 107","Altstetten, Albisrieden","Altstetten","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Prunus cerasifera 'Woodii'","Strassenbaum","69","POINT (2679080 1248520.6)"
"AL-1366","Prunus cerasifera 'Woodii'","Kirschpflaume","Rautistrasse, 109","Altstetten, Albisrieden","Altstetten","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Prunus cerasifera 'Woodii'","Strassenbaum","70","POINT (2679069.5 1248524.6)"
"AL-2350","Corylus colurna","Baumhasel","Rautistrasse; Altstetterstrasse, 138","Altstetten, Albisrieden","Altstetten","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Corylus colurna","Strassenbaum","71","POINT (2678929.5 1248600)"
"AL-5145","Betula pendula","Sand-Birke, Weiss-Birke","Salzweg, 94","Altstetten, Albisrieden","Altstetten","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula","Parkbaum","72","POINT (2677924.5 1248997.5)"
"AL-5300","Zelkova serrata 'Flekova' (Green Vase)","Japanische Zelkove","Saumackerstrasse, 68","Altstetten, Albisrieden","Altstetten","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Zelkova serrata 'Flekova' (Green Vase)","Strassenbaum","73","POINT (2679218.8 1248883.1)"
"AL-1529","Robinia pseudoacacia 'Bessoniana'","Robinie, Schein-Akazie","Saumackerstrasse, 113","Altstetten, Albisrieden","Altstetten","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Robinia pseudoacacia 'Bessoniana'","Strassenbaum","74","POINT (2679132 1248562.8)"
"AL-3635","Cedrus libani 'Glauca'","Atlas-Zeder","Schule für Sehbehinderte; Eugen-Huber-Strasse, 20220406","Altstetten, Albisrieden","Altstetten","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Cedrus libani 'Glauca'","Parkbaum","75","POINT (2679127 1248740)"
"AL-3997","Pinus nigra ssp. nigra","Schwarz-Kiefer, Österreichische Schwarz-Kiefer","Schule für Sehbehinderte; Eugen-Huber-Strasse, 20220406","Altstetten, Albisrieden","Altstetten","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Pinus nigra ssp. nigra","Parkbaum","76","POINT (2679120.5 1248750.8)"
"AL-3998","Pinus nigra ssp. nigra","Schwarz-Kiefer, Österreichische Schwarz-Kiefer","Schule für Sehbehinderte; Eugen-Huber-Strasse, 20220406","Altstetten, Albisrieden","Altstetten","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Pinus nigra ssp. nigra","Parkbaum","77","POINT (2679118.2 1248751.8)"
"AL-7633","Betula pendula","Sand-Birke, Weiss-Birke","Schulhaus Chriesiweg; Eugen-Huber-Strasse, 150","Altstetten, Albisrieden","Altstetten","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula","Parkbaum","78","POINT (2678109 1249184.1)"
"AR-3060","Pinus nigra ssp. nigra","Schwarz-Kiefer, Österreichische Schwarz-Kiefer","Schulhaus In der Ey; In der Ey, 20","Altstetten, Albisrieden","Albisrieden","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Pinus nigra ssp. nigra","Parkbaum","79","POINT (2679175 1247510.8)"
"AR-1762","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","Schulhaus Letzi; Espenhofweg, 60","Altstetten, Albisrieden","Albisrieden","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Acer pseudoplatanus","Parkbaum","80","POINT (2679903.5 1247272.4)"
"AL-4088","Betula pendula","Sand-Birke, Weiss-Birke","Schulhaus Untermoos; Altstetterstrasse, 248","Altstetten, Albisrieden","Altstetten","abgestorben","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Acer campestre","Parkbaum","81","POINT (2678841 1248311.9)"
"AL-4103","Pinus sylvestris","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","Schulhaus Untermoos; Altstetterstrasse, 248","Altstetten, Albisrieden","Altstetten","abgestorben","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Pinus sylvestris","Parkbaum","82","POINT (2678831.5 1248238.5)"
"AL-8929","Prunus avium","Vogel-Kirsche, Süss-Kirsche","Schulhaus Untermoos; Altstetterstrasse, 248","Altstetten, Albisrieden","Altstetten","abgestorben","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Prunus avium","Parkbaum","83","POINT (2678800.5 1248308.6)"
"AL-5017","Thuja plicata","Riesen-Lebensbaum","Sportanlage Buchlern; Friedhofstrasse, 89","Altstetten, Albisrieden","Altstetten","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Abies alba","Parkbaum","84","POINT (2678550.2 1248304.1)"
"AL-9110","Prunus domestica cv.","Sammelbegriff für Zwetschgen, Pflaume, Reneklode usw. (Sorte unbek.)","Sportanlage Buchlern; Friedhofstrasse, 89","Altstetten, Albisrieden","Altstetten","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus domestica cv.","Parkbaum","85","POINT (2678500 1248386.4)"
"AR-1327","Acer saccharinum 'Laciniatum Wieri'","Silber-Ahorn","Süsslerenstrasse, 20","Altstetten, Albisrieden","Albisrieden","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Acer saccharinum 'Laciniatum Wieri'","Parkbaum","86","POINT (2679630.2 1247784.5)"
"AR-1737","Acer saccharinum 'Laciniatum Wieri'","Silber-Ahorn","Süsslerenstrasse, 20","Altstetten, Albisrieden","Albisrieden","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer saccharinum 'Laciniatum Wieri'","Parkbaum","87","POINT (2679635.5 1247794.5)"
"AR-1738","Acer saccharinum 'Laciniatum Wieri'","Silber-Ahorn","Süsslerenstrasse, 20","Altstetten, Albisrieden","Albisrieden","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Acer saccharinum 'Laciniatum Wieri'","Parkbaum","88","POINT (2679639.8 1247777.2)"
"AR-1920","Pinus nigra ssp. nigra","Schwarz-Kiefer, Österreichische Schwarz-Kiefer","Süsslerenstrasse, 20","Altstetten, Albisrieden","Albisrieden","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Pinus nigra ssp. nigra","Parkbaum","89","POINT (2679655 1247776.4)"
"WD-8241","Alnus incana","Grau-Erle, Weiss-Erle","Triemlifussweg","Altstetten, Albisrieden","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Alnus incana","Parkbaum","90","POINT (2680169.2 1247166)"
"WD-8669","Alnus incana","Grau-Erle, Weiss-Erle","Triemlifussweg","Altstetten, Albisrieden","Wiedikon","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Alnus incana","Parkbaum","91","POINT (2680139.8 1247164.6)"
"AL-5517","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","VBZ Zentralwerkstätte Luggwegstrasse; Luggwegstrasse, 65","Altstetten, Albisrieden","Altstetten","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer pseudoplatanus","Parkbaum","92","POINT (2679434.5 1248922.1)"
"AL-7193","Acer platanoides 'Cleveland'","Spitz-Ahorn","Aargauerstrasse, 110","Höngg, Grünau","Altstetten","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides 'Cleveland'","Strassenbaum","119","POINT (2679748.8 1249584.2)"
"HG-423","Crataegus x lavalleei","Lederblättriger Weissdorn (crus-galli x pubescens)","Ackersteinstrasse, 206","Höngg, Grünau","Höngg","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus x lavalleei 'Carrierei'","Strassenbaum","120","POINT (2680060.8 1250649.8)"
"HG-447","Crataegus x lavalleei","Lederblättriger Weissdorn (crus-galli x pubescens)","Ackersteinstrasse","Höngg, Grünau","Höngg","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer monspessulanum","Strassenbaum","121","POINT (2680133 1250518.5)"
"HG-4778","Cedrus libani ssp. atlantica","Atlas-Zeder","Bauherrenstrasse, 7","Höngg, Grünau","Höngg","Schädling","Verkehrssicherheit (stand- oder bruchgefährdet)","in Abklärung","Cedrus deodara","Parkbaum","122","POINT (2680238 1250368)"
"HG-4564","Fraxinus excelsior","Gemeine Esche","Emil-Klöti-Strasse","Höngg, Grünau","Höngg","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","natürlicher Aufwuchs, Gehölzgruppe","Fraxinus excelsior","Parkbaum","123","POINT (2680382.2 1251471.9)"
"HG-4670","Quercus petraea","Trauben-Eiche","Emil-Klöti-Strasse; Schauenbergstrasse,","Höngg, Grünau","Höngg","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Quercus petraea","Parkbaum","124","POINT (2680507.8 1251636.1)"
"HG-1112","Prunus serrulata 'Kanzan'","Japanische Blüten-Kirsche, Japanische Nelken-Kirsche","FH Hönggerberg","Höngg, Grünau","Höngg","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Prunus serrulata 'Kanzan'","Parkbaum","125","POINT (2679596.5 1251516.2)"
"HG-1779","Laburnum x watereri 'Vossii'","Goldregen","FH Hönggerberg","Höngg, Grünau","Höngg","abgestorben","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Laburnum x watereri 'Vossii'","Parkbaum","126","POINT (2679476.2 1251569.1)"
"AL-2116","Populus nigra 'Italica'","Pyramiden-Pappel, Italienische Pappel","Fischerweg","Höngg, Grünau","Altstetten","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Populus nigra 'Italica'","Strassenbaum","127","POINT (2679881.5 1250283.9)"
"HG-43","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","Frankentalerstrasse; Frankentalerstrasse,","Höngg, Grünau","Höngg","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Laubbaum","Strassenbaum","128","POINT (2678702.2 1251184.6)"
"HG-750","Prunus 'Accolade'","Zier-Kirsche","Giblenstrasse","Höngg, Grünau","Höngg","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus 'Umineko'","Strassenbaum","131","POINT (2678654.5 1251800.6)"
"AL-4361","Populus nigra 'Italica'","Pyramiden-Pappel, Italienische Pappel","Hardhof","Höngg, Grünau","Altstetten","Sicherheitsrisiko","Verkehrssicherheit (stand- oder bruchgefährdet)","natürlicher Aufwuchs, Gehölzgruppe","Populus nigra 'Italica'","Parkbaum","132","POINT (2679763 1250272.4)"
"HG-319","Platanus x hispanica","Platane (occidentalis x orientalis)","Hohenklingenallee","Höngg, Grünau","Höngg","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Platanus x hispanica","Strassenbaum","133","POINT (2679251.2 1250715.4)"
"HG-322","Platanus x hispanica","Platane (occidentalis x orientalis)","Hohenklingenallee","Höngg, Grünau","Höngg","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Platanus x hispanica","Strassenbaum","134","POINT (2679272 1250709.6)"
"HG-5224","Picea abies","Rottanne, Fichte","Imbisbühlstrasse","Höngg, Grünau","Höngg","Schädling","Verkehrssicherheit (stand- oder bruchgefährdet)","natürlicher Aufwuchs, Gehölzgruppe","Picea abies","Parkbaum","135","POINT (2678712.2 1251194.5)"
"HG-5225","Picea abies","Rottanne, Fichte","Imbisbühlstrasse","Höngg, Grünau","Höngg","Schädling","Verkehrssicherheit (stand- oder bruchgefährdet)","natürlicher Aufwuchs, Gehölzgruppe","Picea abies","Parkbaum","136","POINT (2678715 1251196.8)"
"HG-3670","Fraxinus excelsior","Gemeine Esche","Kindergarten Winzerhalde; Winzerhalde, 62a","Höngg, Grünau","Höngg","absterbend","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Fraxinus excelsior","Parkbaum","137","POINT (2679208.2 1250579)"
"HG-3671","Fraxinus excelsior","Gemeine Esche","Kindergarten Winzerhalde; Winzerhalde, 62a","Höngg, Grünau","Höngg","absterbend","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Fraxinus excelsior","Parkbaum","138","POINT (2679211 1250579.2)"
"HG-865","Robinia pseudoacacia 'Unifoliola'","Robinie, Schein-Akazie","Limmattalstrasse, 360","Höngg, Grünau","Höngg","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Laubbaum","Strassenbaum","139","POINT (2678985.5 1250910.2)"
"HG-3935","Zelkova serrata 'Flekova' (Green Vase)","Japanische Zelkove","Limmattalstrasse, 406","Höngg, Grünau","Höngg","Schädling","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Zelkova serrata 'Flekova' (Green Vase)","Strassenbaum","140","POINT (2678574.2 1251005.6)"
"HG-27","Robinia pseudoacacia 'Unifoliola'","Robinie, Schein-Akazie","Limmattalstrasse, 410","Höngg, Grünau","Höngg","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Laubbaum","Strassenbaum","141","POINT (2678535.2 1251004.6)"
"HG-4938","Prunus avium","Vogel-Kirsche, Süss-Kirsche","Limmattalstrasse, 414","Höngg, Grünau","Höngg","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Castanea sativa 'Bouche de Betizac'","Parkbaum","142","POINT (2678457.5 1251022.9)"
"HG-187","Robinia pseudoacacia 'Unifoliola'","Robinie, Schein-Akazie","Limmattalstrasse","Höngg, Grünau","Höngg","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Laubbaum","Strassenbaum","143","POINT (2679010.2 1250894.5)"
"HG-193","Robinia pseudoacacia 'Unifoliola'","Robinie, Schein-Akazie","Limmattalstrasse","Höngg, Grünau","Höngg","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Laubbaum","Strassenbaum","144","POINT (2678959.5 1250926.5)"
"HG-199","Robinia pseudoacacia 'Unifoliola'","Robinie, Schein-Akazie","Limmattalstrasse","Höngg, Grünau","Höngg","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Laubbaum","Strassenbaum","145","POINT (2678908.2 1250958.9)"
"HG-201","Robinia pseudoacacia 'Unifoliola'","Robinie, Schein-Akazie","Limmattalstrasse","Höngg, Grünau","Höngg","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Laubbaum","Strassenbaum","146","POINT (2678891.5 1250969.2)"
"HG-500","Carpinus betulus 'Fastigiata'","Gemeine Hain- oder Weissbuche (säulen- oder pyramidenförmig)","Limmattalstrasse","Höngg, Grünau","Höngg","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Ulmus 'Columella'","Strassenbaum","147","POINT (2680045 1250687.1)"
"HG-6502","Salix caprea","Sal-Weide","Müseliweg, 45","Höngg, Grünau","Höngg","abgestorben","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Salix caprea","Parkbaum","148","POINT (2680694.5 1250699.5)"
"WP-334","Robinia pseudoacacia","Robinie, Schein-Akazie","Nordstrasse, G 354","Höngg, Grünau","Wipkingen","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Laubbaum","Strassenbaum","149","POINT (2681517.2 1250090.1)"
"WP-331","Robinia pseudoacacia 'Bessoniana'","Robinie, Schein-Akazie","Nordstrasse","Höngg, Grünau","Wipkingen","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Laubbaum","Strassenbaum","150","POINT (2681497.5 1250095.5)"
"HG-2611","Carpinus betulus","Gemeine Hain- oder Weissbuche","Regensdorferstrasse, 166","Höngg, Grünau","Höngg","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Carpinus betulus","Strassenbaum","151","POINT (2679045 1251634.5)"
"HG-94","Carpinus betulus","Gemeine Hain- oder Weissbuche","Regensdorferstrasse, 168","Höngg, Grünau","Höngg","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Laubbaum","Strassenbaum","152","POINT (2679035.2 1251648.6)"
"HG-206","Prunus domestica domestica 'Fellenberg'","Zwetschge-Obstgehölz 'Fellenberg'","Regensdorferstrasse","Höngg, Grünau","Höngg","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Obstbaum","Parkbaum","153","POINT (2679915.8 1250772.2)"
"HG-207","Malus domestica cv.","Apfel-Obstgehölz, Sorte unbekannt","Regensdorferstrasse","Höngg, Grünau","Höngg","abgestorben","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Obstbaum","Parkbaum","154","POINT (2679923.2 1250771.6)"
"HG-2914","Carpinus betulus","Gemeine Hain- oder Weissbuche","Regensdorferstrasse; Heizenholz,","Höngg, Grünau","Höngg","Unfallschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Carpinus betulus 'Fastigiata'","Strassenbaum","155","POINT (2678883.2 1251803.5)"
"HG-2536","Corylus colurna","Baumhasel","Riedhofstrasse, G 307","Höngg, Grünau","Höngg","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Ostrya carpinifolia","Strassenbaum","156","POINT (2678908.2 1251356.2)"
"HG-3240","Prunus serrulata 'Kanzan'","Japanische Blüten-Kirsche, Japanische Nelken-Kirsche","Schulhaus Pünten; Imbisbühlstrasse, 79","Höngg, Grünau","Höngg","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Prunus serrulata 'Kanzan'","Parkbaum","157","POINT (2679286.2 1250915.6)"
"HG-3404","Sorbus aucuparia","Gemeine Eberesche, Vogelbeerbaum","Schulhaus Riedhof; Reinhold-Frei-Strasse, 42","Höngg, Grünau","Höngg","abgestorben","Verkehrssicherheit (stand- oder bruchgefährdet)","natürlicher Aufwuchs, Gehölzgruppe","Sorbus aucuparia","Parkbaum","158","POINT (2679218.5 1251322.8)"
"HG-3554","Fraxinus excelsior","Gemeine Esche","Schulhaus Riedhof; Reinhold-Frei-Strasse, 42","Höngg, Grünau","Höngg","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","natürlicher Aufwuchs, Gehölzgruppe","Fraxinus excelsior","Parkbaum","159","POINT (2679247.5 1251323.2)"
"HG-3614","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","Schulhaus Rütihof; Giblenstrasse, 61","Höngg, Grünau","Höngg","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","natürlicher Aufwuchs, Gehölzgruppe","Acer pseudoplatanus","Parkbaum","160","POINT (2678506.2 1251722.2)"
"HG-3537","Carpinus betulus","Gemeine Hain- oder Weissbuche","Schulhaus Vogtsrain; Ferdinand-Hodler-Strasse, 23","Höngg, Grünau","Höngg","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Carpinus betulus","Parkbaum","161","POINT (2680035 1250887.4)"
"AL-6264","Pinus sylvestris","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","Sportanlage Hardhof; Hardhof, 19","Höngg, Grünau","Altstetten","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","natürlicher Aufwuchs, Gehölzgruppe","Pinus sylvestris","Parkbaum","162","POINT (2680131.8 1250012.5)"
"AL-2000","Sorbus intermedia","Oxelbeere, Schwedische Mehlbeere","Tüffenwies","Höngg, Grünau","Altstetten","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Magnolia kobus","Strassenbaum","163","POINT (2679391.8 1250151.8)"
"HG-5247","Fraxinus excelsior","Gemeine Esche","Wildenweg","Höngg, Grünau","Höngg","absterbend","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Fraxinus excelsior","Parkbaum","164","POINT (2679050.2 1251195.2)"
"HG-266","Fraxinus excelsior","Gemeine Esche","Winzerhalde","Höngg, Grünau","Höngg","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior","Parkbaum","165","POINT (2679155.2 1250607.6)"
"WD-1745","Ailanthus altissima","Götterbaum","Albisriederstrasse, 108","Sihlfeld","Wiedikon","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Zelkova serrata 'Flekova' (Green Vase)","Strassenbaum","242","POINT (2680418.2 1247944.8)"
"WD-2637","Ailanthus altissima (m)","Götterbaum (männlich)","Albisriederstrasse, 110","Sihlfeld","Wiedikon","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Ulmus 'Rebona'","Strassenbaum","243","POINT (2680367.8 1247941.1)"
"WD-1767","Acer platanoides 'Olmsted'","Spitz-Ahorn","Albisriederstrasse, 149","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer truncatum 'Norwegian Sunset'","Strassenbaum","244","POINT (2680175.2 1247928.5)"
"WD-1768","Acer platanoides 'Olmsted'","Spitz-Ahorn","Albisriederstrasse, 149","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer truncatum 'Norwegian Sunset'","Strassenbaum","245","POINT (2680165.8 1247928.4)"
"WD-1756","Ailanthus altissima (m)","Götterbaum (männlich)","Albisriederstrasse, 156","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Zelkova serrata 'Flekova' (Green Vase)","Strassenbaum","246","POINT (2680285.8 1247935.2)"
"WD-1758","Ailanthus altissima (m)","Götterbaum (männlich)","Albisriederstrasse, 156","Sihlfeld","Wiedikon","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Zelkova serrata 'Flekova' (Green Vase)","Strassenbaum","247","POINT (2680266 1247933.9)"
"WD-1761","Acer platanoides 'Olmsted'","Spitz-Ahorn","Albisriederstrasse, 164","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Strassenbaum","248","POINT (2680236.8 1247931.6)"
"WD-1806","Acer platanoides","Spitz-Ahorn","Albisriederstrasse, 164","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Liquidambar styraciflua 'Worplesdon'","Strassenbaum","249","POINT (2680212.5 1247942.9)"
"WD-3574","Ailanthus altissima (m)","Götterbaum (männlich)","Albisriederstrasse, 164","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer truncatum 'Norwegian Sunset'","Strassenbaum","250","POINT (2680216.2 1247930.2)"
"WD-2641","Acer platanoides","Spitz-Ahorn","Albisriederstrasse, 166","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Liquidambar styraciflua 'Worplesdon'","Strassenbaum","251","POINT (2680152.8 1247942.5)"
"WD-8084","Koelreuteria spec.","Blasenbaum, Blasenesche, Art unbekannt","Bertahof; Bertastrasse, 20220111","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Koelreuteria spec.","Parkbaum","252","POINT (2681393.8 1247696.2)"
"WD-8085","Koelreuteria spec.","Blasenbaum, Blasenesche, Art unbekannt","Bertahof; Bertastrasse, 20220111","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Koelreuteria spec.","Parkbaum","253","POINT (2681390.2 1247692.6)"
"WD-3220","Liriodendron tulipifera","Tulpenbaum","Brahmsstrasse, 4","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Liriodendron tulipifera","Strassenbaum","254","POINT (2680727.5 1248006.6)"
"WD-12269","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","Brahmsstrasse, 47","Sihlfeld","Wiedikon","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","in Abklärung","Acer pseudoplatanus","Parkbaum","255","POINT (2680594.5 1248072.5)"
"WD-9837","Amelanchier lamarckii","Kupfer-Felsenbirne","Brahmsstrasse, 65-71","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Amelanchier lamarckii","Parkbaum","256","POINT (2680491 1248017.2)"
"WD-9838","Amelanchier lamarckii","Kupfer-Felsenbirne","Brahmsstrasse, 65-71","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Amelanchier lamarckii","Parkbaum","257","POINT (2680493 1248022.8)"
"WD-6314","Crataegus monogyna","Eingriffliger Weissdorn","Döltschihalde, 20-26","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer rubrum 'Scanlon'","Parkbaum","258","POINT (2680019 1246528.1)"
"WD-8551","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","Döltschihalde, 20-26","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Prunus padus","Parkbaum","259","POINT (2680085.2 1246474.5)"
"WD-6303","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","Döltschihalde, 55-61","Sihlfeld","Wiedikon","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Quercus pubescens","Parkbaum","260","POINT (2679866.8 1246533.4)"
"WD-1062","Betula pendula","Sand-Birke, Weiss-Birke","Döltschiweg","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Quercus pubescens","Parkbaum","261","POINT (2680370.8 1246522.6)"
"WD-128","Betula pendula","Sand-Birke, Weiss-Birke","Döltschiweg","Sihlfeld","Wiedikon","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Parkbaum","262","POINT (2680895.5 1246873.5)"
"WD-1296","Betula pendula","Sand-Birke, Weiss-Birke","Döltschiweg","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula","Parkbaum","263","POINT (2680364.2 1246548.6)"
