"objid","baumnummer","geometry"
"40463","RI-1440","POINT (2686088.5 1244872)"
"127424","RI-1316","POINT (2685998 1245089.5)"
"223004","RI-6356","POINT (2685763.5 1244884.9)"
"127430","RI-1318","POINT (2685992.5 1245106)"
"90134","RI-1619","POINT (2686091 1244993.5)"
"127304","RI-1147","POINT (2685999.2 1245131.4)"
"90119","RI-1625","POINT (2686078.2 1244991.1)"
"90113","RI-1622","POINT (2686080.2 1245004.4)"
"89606","RI-1539","POINT (2686055.5 1244968.2)"
"90398","RI-1635","POINT (2686116 1244954.2)"
"134141","RI-1314","POINT (2686003.2 1245073.8)"
"208436","RI-4936","POINT (2685950.8 1245272.8)"
"74483","RI-5798","POINT (2686014.2 1245051.1)"
"223322","RI-1439","POINT (2686097 1244861.2)"
"101744","RI-1661","POINT (2686075.5 1245005.5)"
"90131","RI-1618","POINT (2686097.5 1244991.9)"
"127418","RI-1312","POINT (2686008.5 1245057.9)"
"223493","RI-6342","POINT (2685850.8 1244918.2)"
"127265","RI-1735","POINT (2686120.8 1244899.6)"
"89738","RI-2239","POINT (2686104.5 1244915.9)"
"90401","RI-1637","POINT (2686112 1244957.1)"
"127502","RI-1671","POINT (2686062.8 1244950.6)"
"175217","RI-4818","POINT (2686094.2 1244969.8)"
"205736","RI-7138","POINT (2685789.5 1244903.8)"
"127403","RI-1669","POINT (2686065.2 1244943.6)"
"223490","RI-6341","POINT (2685855.8 1244912.1)"
"127508","RI-1667","POINT (2686058.8 1244963.2)"
"111236","RI-1145","POINT (2686006.5 1245109.6)"
"127517","RI-1627","POINT (2686095 1244983.4)"
"40466","RI-1141","POINT (2686003.8 1245083)"
"90125","RI-1613","POINT (2686103 1245005.8)"
"223982","RI-6330","POINT (2685907.8 1244890.8)"
"127529","RI-1609","POINT (2686121 1244988.2)"
"223010","RI-6362","POINT (2685811.8 1244909.4)"
"127523","RI-1615","POINT (2686106.5 1245000.9)"
"222998","RI-6358","POINT (2685761.5 1244876.9)"
"127514","RI-1626","POINT (2686085.2 1244985.2)"
"127394","RI-1674","POINT (2686069 1244932)"
"127400","RI-1668","POINT (2686066 1244941.4)"
"127511","RI-1680","POINT (2686075 1244942.9)"
"90410","RI-2244","POINT (2686106.5 1244977.9)"
"101726","RI-1684","POINT (2686084.8 1244909.6)"
"67388","RI-1309","POINT (2686060.5 1244912.8)"
"208058","RI-6340","POINT (2685863.5 1244924)"
"113711","RI-1639","POINT (2686080 1244975.8)"
"127382","RI-1685","POINT (2686089.2 1244907.6)"
"223496","RI-6337","POINT (2685860 1244916.9)"
"222995","RI-6360","POINT (2685755.8 1244870.4)"
"223970","RI-6333","POINT (2685885.5 1244912.1)"
"208406","RI-6353","POINT (2685776.2 1244896.2)"
