"objid","baumnummer","geometry"
"204824","WD-8355","POINT (2681413 1246624.8)"
"200621","WD-8166","POINT (2681404.8 1246708.2)"
"23888","WD-6201","POINT (2681543.5 1246510.6)"
"147677","WD-3378","POINT (2681571 1246654.9)"
"148505","WD-8357","POINT (2681421 1246609.6)"
"61079","WD-9021","POINT (2681477.2 1246794.5)"
"47915","WD-3278","POINT (2681605.8 1246730.6)"
"221024","WD-8301","POINT (2681627 1246756.1)"
"215906","WD-3374","POINT (2681533 1246663)"
"42107","WD-10478","POINT (2681631.5 1246686.4)"
"191792","WD-8352","POINT (2681401 1246648.5)"
"221033","WD-8304","POINT (2681611.2 1246746)"
"214823","WD-9002","POINT (2681468.8 1246843.8)"
"219338","WD-3469","POINT (2681569.2 1246524.5)"
"222506","WD-8274","POINT (2681588.8 1246574.5)"
"160622","WD-8392","POINT (2681563.2 1246686.4)"
"47912","WD-2644","POINT (2681526.2 1246501.4)"
"148508","WD-8358","POINT (2681421.5 1246604.1)"
"219836","WD-9019","POINT (2681494.8 1246807.1)"
"159449","WD-8373","POINT (2681499 1246611.9)"
"150407","WD-8381","POINT (2681579.8 1246671.2)"
"219350","WD-3277","POINT (2681609.8 1246722.2)"
"163598","WD-11823","POINT (2681557.8 1246636.6)"
"150410","WD-8396","POINT (2681517.5 1246756.2)"
"53177","WD-9063","POINT (2681627.2 1246867.9)"
"210227","WD-346","POINT (2681530.5 1246775.6)"
"53174","WD-9062","POINT (2681635.8 1246870.1)"
"160631","WD-8404","POINT (2681463.8 1246730)"
"147671","WD-8376","POINT (2681533.8 1246616.8)"
"23894","WD-4376","POINT (2681580 1246566.9)"
"159428","WD-8361","POINT (2681436.2 1246576)"
"188408","WD-12531","POINT (2681563.2 1246698.1)"
"47921","WD-9417","POINT (2681416.2 1246742.1)"
"231299","WD-8298","POINT (2681624.2 1246789.6)"
"231296","WD-8296","POINT (2681612.2 1246804.4)"
"231302","WD-8300","POINT (2681624 1246777.8)"
"23900","WD-2648","POINT (2681587.5 1246653.8)"
"148541","WD-9012","POINT (2681478.5 1246864.1)"
"219344","WD-2651","POINT (2681584 1246646)"
"219839","WD-9016","POINT (2681476 1246813.1)"
"226484","WD-8293","POINT (2681597.5 1246841.4)"
"221519","WD-8267","POINT (2681621.5 1246728.9)"
"26060","WD-6200","POINT (2681580.5 1246549)"
"110987","WD-329","POINT (2681577.5 1246786.9)"
"215900","WD-3376","POINT (2681534.2 1246681.4)"
"159434","WD-8389","POINT (2681558 1246674.6)"
"221030","WD-8303","POINT (2681615.5 1246743.5)"
"42104","WD-10479","POINT (2681631.2 1246687.9)"
"23882","WD-3273","POINT (2681511.5 1246492)"
"231155","WD-8285","POINT (2681541 1246875.9)"
"160619","WD-8391","POINT (2681559.2 1246683.5)"
"207575","WD-8299","POINT (2681618.8 1246784.8)"
"207572","WD-8290","POINT (2681583.5 1246867)"
"191810","WD-8398","POINT (2681502 1246749.5)"
"159338","WD-8362","POINT (2681453 1246615.1)"
"48356","WD-9018","POINT (2681488.5 1246813.4)"
"229022","WD-8295","POINT (2681605.2 1246823.2)"
"35924","WD-9418","POINT (2681401.8 1246788.9)"
"159452","WD-8372","POINT (2681497.8 1246608.9)"
"42122","WD-10486","POINT (2681637.2 1246677.5)"
"41999","WD-10473","POINT (2681634.8 1246700.1)"
"53096","WD-9059","POINT (2681649.5 1246879.5)"
"61076","WD-9413","POINT (2681377.5 1246740.9)"
"163601","WD-11824","POINT (2681553.5 1246633.4)"
"191327","WD-8365","POINT (2681468.5 1246582.9)"
"148499","WD-8348","POINT (2681447 1246661.6)"
"222032","WD-8278","POINT (2681591 1246633)"
"222023","WD-8279","POINT (2681599.5 1246651.4)"
"220829","WD-9022","POINT (2681464.8 1246798.2)"
"23885","WD-6202","POINT (2681535.5 1246506.5)"
"182066","WD-8374","POINT (2681507 1246615.6)"
"42113","WD-10481","POINT (2681623 1246668.6)"
"150404","WD-3379","POINT (2681575.2 1246656.8)"
"148502","WD-8349","POINT (2681438.2 1246644.4)"
"110996","WD-334","POINT (2681557.2 1246826.8)"
"219353","WD-3279","POINT (2681601.8 1246738.8)"
"231161","WD-8297","POINT (2681624.2 1246799.9)"
"147701","WD-9007","POINT (2681440 1246851.9)"
"191795","WD-8353","POINT (2681399.2 1246657.5)"
"210203","WD-305","POINT (2681579.8 1246584.6)"
"215903","WD-3375","POINT (2681537.5 1246672.2)"
"231158","WD-8291","POINT (2681579.8 1246862.4)"
"47957","WD-9025","POINT (2681471 1246768.9)"
"219329","WD-2821","POINT (2681507.2 1246484.2)"
"53180","WD-9064","POINT (2681620.5 1246866.6)"
"215384","WD-8346","POINT (2681436.8 1246684.8)"
"35927","WD-9030","POINT (2681451 1246803.2)"
"148493","WD-8403","POINT (2681472.2 1246732.8)"
"42101","WD-10477","POINT (2681632.2 1246691.1)"
"160625","WD-8401","POINT (2681494.2 1246744.1)"
"35921","WD-9409","POINT (2681377.2 1246715.6)"
"219347","WD-2650","POINT (2681594.5 1246670.2)"
"220337","WD-9028","POINT (2681436 1246816.8)"
"48353","WD-9023","POINT (2681451.5 1246793.2)"
"191813","WD-8395","POINT (2681528.5 1246760.6)"
"53948","WD-2823","POINT (2681575.8 1246531.1)"
"220331","WD-9406","POINT (2681434.2 1246733.2)"
"214826","WD-9003","POINT (2681462.5 1246841.1)"
"222038","WD-8280","POINT (2681590 1246624.2)"
"191324","WD-8380","POINT (2681578 1246664.6)"
"214829","WD-9004","POINT (2681452 1246836.1)"
"95939","WD-339","POINT (2681536.8 1246867.1)"
"147560","WD-8163","POINT (2681380.8 1246698.6)"
"221531","WD-8270","POINT (2681606.2 1246685.8)"
"111008","WD-338","POINT (2681540.8 1246859)"
"35930","WD-9027","POINT (2681513 1246777.6)"
"147557","WD-421","POINT (2681428 1246712.8)"
"148544","WD-9011","POINT (2681458.2 1246888.1)"
"58250","WD-2647","POINT (2681591 1246661.9)"
"232130","WD-8288","POINT (2681559 1246876.8)"
"47924","WD-9420","POINT (2681398.2 1246743.4)"
"53171","WD-9061","POINT (2681642.2 1246872.9)"
"214820","WD-9013","POINT (2681484.2 1246854)"
"23897","WD-2652","POINT (2681580.8 1246637.5)"
"148496","WD-8347","POINT (2681444.8 1246669.9)"
"229019","WD-8286","POINT (2681556.5 1246868.5)"
"110999","WD-335","POINT (2681553.2 1246835)"
"215381","WD-8345","POINT (2681429.2 1246699.4)"
"191801","WD-8407","POINT (2681445.5 1246723.1)"
"210230","WD-347","POINT (2681525 1246772.8)"
"68441","WD-3467","POINT (2681522.8 1246889.1)"
"147662","WD-8165","POINT (2681397 1246705.2)"
"111005","WD-337","POINT (2681545 1246851)"
"25211","WD-9031","POINT (2681450.5 1246744.8)"
"160634","WD-8410","POINT (2681480.8 1246665.2)"
"213737","WD-13107","POINT (2681562.2 1246704.5)"
"222044","WD-8282","POINT (2681592.8 1246617.9)"
"23903","WD-2649","POINT (2681597.8 1246678.5)"
"231293","WD-8292","POINT (2681589 1246856.4)"
"222500","WD-8275","POINT (2681586 1246595.2)"
"23906","WD-3276","POINT (2681611 1246712.8)"
"26066","WD-6198","POINT (2681580 1246575.8)"
"222041","WD-8281","POINT (2681587.5 1246617.6)"
"150413","WD-8371","POINT (2681480.2 1246591.8)"
"191807","WD-8405","POINT (2681458.5 1246728.5)"
"147698","WD-9014","POINT (2681479.2 1246850)"
"215897","WD-427","POINT (2681375.5 1246690.2)"
"214835","WD-9006","POINT (2681443.5 1246838.5)"
"159443","WD-8388","POINT (2681538.2 1246635.2)"
"214838","WD-9009","POINT (2681428.8 1246866.1)"
"148520","WD-8368","POINT (2681452.5 1246581.4)"
"191330","WD-8370","POINT (2681459.8 1246587.8)"
"221537","WD-8271","POINT (2681598.5 1246659.4)"
"191804","WD-8399","POINT (2681498.8 1246745.9)"
"56771","WD-9415","POINT (2681374 1246768.1)"
"64544","WD-9024","POINT (2681465.8 1246773.4)"
"110990","WD-331","POINT (2681569.2 1246802.8)"
"47918","WD-9404","POINT (2681518 1246801.1)"
"53099","WD-9060","POINT (2681650.5 1246874.5)"
"198209","WD-10527","POINT (2681458.5 1246702)"
"147665","WD-422","POINT (2681415.2 1246706.1)"
"50516","WD-11947","POINT (2681512.2 1246571.1)"
"222026","WD-8276","POINT (2681595.2 1246648.6)"
"215378","WD-8400","POINT (2681487.2 1246741.4)"
"220325","WD-9410","POINT (2681385.8 1246725.8)"
"150401","WD-3373","POINT (2681544 1246624)"
"231290","WD-8289","POINT (2681568.2 1246841.6)"
"41996","WD-10472","POINT (2681638.2 1246689)"
"221318","WD-9416","POINT (2681389.5 1246756.8)"
"159431","WD-8366","POINT (2681447.8 1246578.6)"
"220334","WD-9029","POINT (2681443.2 1246810.9)"
"222029","WD-8277","POINT (2681592.5 1246639.1)"
"47927","WD-9408","POINT (2681388.5 1246716.8)"
"214832","WD-9005","POINT (2681445.8 1246833)"
"219821","WD-341","POINT (2681527.8 1246881.8)"
"163652","WD-8360","POINT (2681429.5 1246589.5)"
"210221","WD-333","POINT (2681561.2 1246818.8)"
"47948","WD-9407","POINT (2681344.8 1246778.5)"
"222035","WD-8272","POINT (2681585.8 1246633.9)"
"159437","WD-8384","POINT (2681529.8 1246644.8)"
"110984","WD-328","POINT (2681581.5 1246778.8)"
"221528","WD-8269","POINT (2681610.2 1246691.9)"
"53942","WD-2646","POINT (2681578.8 1246629.4)"
"21707","HG-2846","POINT (2679730.8 1251232)"
"132434","HG-202","POINT (2679858.2 1250863.5)"
"21725","HG-2850","POINT (2679786 1251082.2)"
"193766","HG-5042","POINT (2679710 1250960.1)"
"85844","HG-2660","POINT (2679781.8 1250927.2)"
"12677","HG-2633","POINT (2679774.2 1251292)"
"85208","HG-1216","POINT (2679803.2 1251307.6)"
"76340","HG-144","POINT (2679834.5 1250893.2)"
"85598","HG-2578","POINT (2679642.5 1250873)"
"85205","HG-1230","POINT (2679760 1251316.2)"
"193289","HG-5041","POINT (2679717.2 1250951.9)"
"11501","HG-4847","POINT (2679782.2 1251304)"
"11510","HG-4850","POINT (2679762.2 1251312.1)"
"193757","HG-5038","POINT (2679732.8 1250949.5)"
"12674","HG-2632","POINT (2679789.5 1251284.5)"
"76343","HG-143","POINT (2679829.8 1250899.2)"
"21728","HG-2851","POINT (2679782 1251075.2)"
"87029","HG-1235","POINT (2679790.5 1251293.4)"
"85214","HG-1218","POINT (2679792.2 1251312.1)"
"92957","HG-2849","POINT (2679755.5 1251177)"
"132437","HG-2719","POINT (2679791 1250919)"
"55583","HG-7110","POINT (2679719.8 1251267.8)"
"11504","HG-4848","POINT (2679775.5 1251306.6)"
"12680","HG-2982","POINT (2679772.5 1251300.5)"
"193763","HG-5040","POINT (2679736 1250968.9)"
"85190","HG-1887","POINT (2679781 1251297.1)"
"193754","HG-5037","POINT (2679727.8 1250951.5)"
"87026","HG-1886","POINT (2679797.8 1251290.1)"
"85220","HG-1222","POINT (2679781.5 1251315.6)"
"11513","HG-4851","POINT (2679789.2 1251312.9)"
"193292","HG-5036","POINT (2679724.2 1250955.6)"
"85217","HG-1221","POINT (2679786 1251313.9)"
"11498","HG-4846","POINT (2679789.8 1251301.5)"
"50621","HG-2844","POINT (2679717.5 1251275.4)"
"11495","HG-4845","POINT (2679797.5 1251299)"
"193760","HG-5039","POINT (2679734.2 1250962.2)"
"21710","HG-2847","POINT (2679733.2 1251224.4)"
"21704","HG-2843","POINT (2679707 1251308.8)"
"11507","HG-4849","POINT (2679768.5 1251309.6)"
"21722","HG-2848","POINT (2679751 1251183.6)"
"85211","HG-1217","POINT (2679797.8 1251309)"
"106529","HG-1214","POINT (2679830.5 1251319.6)"
"76760","HG-386","POINT (2679738 1250618.2)"
"114866","AL-6543","POINT (2679678 1250190.4)"
"106778","AL-6498","POINT (2679786 1250278.6)"
"42986","HG-4950","POINT (2679833.5 1250616.2)"
"76757","HG-387","POINT (2679745.8 1250616.6)"
"122033","HG-5200","POINT (2679801.5 1250602.5)"
"177347","HG-5532","POINT (2679659.8 1250394.5)"
"106781","AL-6499","POINT (2679780.2 1250277.4)"
"51341","HG-3035","POINT (2679741.8 1250743.8)"
"221681","HG-3066","POINT (2679643 1250476.2)"
"76772","HG-382","POINT (2679705.8 1250625.2)"
"115406","AL-7525","POINT (2679670 1250242.5)"
"110612","AL-8682","POINT (2679786.2 1250310.9)"
"106772","AL-6494","POINT (2679795.8 1250281.1)"
"132836","HG-413","POINT (2679856.8 1250648.6)"
"126449","AL-9013","POINT (2679700 1250180.9)"
"106763","AL-6496","POINT (2679789.8 1250273.6)"
"106589","AL-4383","POINT (2679775.2 1250297.2)"
"73121","AL-8442","POINT (2679802.5 1250185.8)"
"129719","AL-8653","POINT (2679672.8 1250317.2)"
"51344","HG-3036","POINT (2679732.5 1250750.2)"
"145253","HG-3666","POINT (2679856.5 1250641)"
"122027","HG-5195","POINT (2679810.2 1250611.2)"
"114776","AL-6528","POINT (2679706.5 1250223.6)"
"122006","HG-5199","POINT (2679824.2 1250620.8)"
"132569","HG-6703","POINT (2679745.2 1250380.2)"
"132581","HG-6710","POINT (2679655.5 1250392.9)"
"73241","AL-8660","POINT (2679773.2 1250195.1)"
"132830","HG-411","POINT (2679845.8 1250643.5)"
"115403","AL-7524","POINT (2679667.5 1250234.4)"
"85784","AL-2115","POINT (2679845.2 1250291.4)"
"132077","HG-5184","POINT (2679764.2 1250597.8)"
"115307","AL-7516","POINT (2679636.5 1250268)"
"129314","AL-6517","POINT (2679823.8 1250289.8)"
"115382","AL-7517","POINT (2679624 1250268.2)"
"76751","HG-4943","POINT (2679809.2 1250591.6)"
"97829","HG-5176","POINT (2679701.8 1250436.8)"
"108338","HG-216","POINT (2679802.8 1250732.4)"
"51353","HG-3039","POINT (2679704.2 1250769.6)"
"106667","AL-6515","POINT (2679835.5 1250258.8)"
"74978","HG-370","POINT (2679603.2 1250644.1)"
"121997","HG-6707","POINT (2679686 1250388.8)"
"76775","HG-381","POINT (2679697.8 1250627)"
"73130","AL-8654","POINT (2679793.8 1250187.8)"
"145259","HG-3663","POINT (2679852 1250636.8)"
"97844","HG-5191","POINT (2679825.5 1250622.6)"
"129323","AL-8687","POINT (2679808.2 1250306.9)"
"106676","AL-6502","POINT (2679807.2 1250267.8)"
"122021","HG-5198","POINT (2679811.8 1250611.9)"
"97835","HG-5180","POINT (2679750.8 1250594.2)"
"122024","HG-5197","POINT (2679808.5 1250607.9)"
"106571","AL-4361","POINT (2679763 1250272.4)"
"106685","AL-6504","POINT (2679805 1250275.9)"
"114764","AL-6532","POINT (2679702.8 1250211)"
"110615","AL-8686","POINT (2679803.2 1250308.6)"
"106586","AL-4365","POINT (2679764.5 1250297.1)"
"106661","AL-6514","POINT (2679837.8 1250256.6)"
"76694","HG-5558","POINT (2679735.8 1250382.8)"
"86000","AL-2112","POINT (2679810.5 1250298.9)"
"93176","HG-4709","POINT (2679826.8 1250590.4)"
"122030","HG-5196","POINT (2679807.2 1250607)"
"44885","HG-5533","POINT (2679670 1250390.1)"
"73127","AL-8431","POINT (2679796.8 1250187.2)"
"114926","AL-8692","POINT (2679833 1250301.2)"
"129710","AL-8412","POINT (2679695.8 1250319.2)"
"74927","HG-372","POINT (2679622.8 1250641)"
"42968","HG-4949","POINT (2679833 1250610.1)"
"115394","AL-7521","POINT (2679633 1250222.5)"
"132572","HG-7180","POINT (2679678 1250389.8)"
"127952","AL-6516","POINT (2679826.8 1250276.6)"
"115400","AL-7523","POINT (2679659.5 1250232.8)"
"74921","HG-374","POINT (2679638.8 1250638.4)"
"76742","HG-4958","POINT (2679855.5 1250580.8)"
"106583","AL-4366","POINT (2679762.2 1250299)"
"115463","AL-7530","POINT (2679600.8 1250236.6)"
"122012","HG-5192","POINT (2679819.8 1250619.6)"
"42983","HG-4956","POINT (2679829.5 1250617.2)"
"73133","AL-8655","POINT (2679791 1250188.2)"
"179264","HG-3664","POINT (2679853.8 1250639.4)"
"42974","HG-4952","POINT (2679841.5 1250629.8)"
"76766","HG-384","POINT (2679720.8 1250621.9)"
"114860","AL-6547","POINT (2679698 1250192.5)"
"122003","HG-5189","POINT (2679825 1250623.8)"
"129443","AL-8674","POINT (2679772 1250312.8)"
"123983","HG-6704","POINT (2679705.5 1250385.1)"
"114848","AL-6525","POINT (2679719.5 1250267.2)"
"129317","AL-8689","POINT (2679817 1250303)"
"129329","AL-8684","POINT (2679792.2 1250309.6)"
"129716","AL-8409","POINT (2679675.8 1250318.6)"
"123980","HG-5178","POINT (2679694 1250442.2)"
"114869","AL-6542","POINT (2679679.8 1250187.9)"
"122015","HG-5193","POINT (2679815.8 1250615.5)"
"111098","AL-6524","POINT (2679655 1250314.9)"
"188354","HG-5864","POINT (2679814 1250699.5)"
"43289","HG-4954","POINT (2679832.8 1250623.1)"
"85787","AL-2114","POINT (2679834 1250294)"
"76745","HG-4957","POINT (2679845.8 1250582.2)"
"129449","AL-8671","POINT (2679765.8 1250317.4)"
"106682","AL-6509","POINT (2679808.5 1250277)"
"115301","AL-7514","POINT (2679616 1250280.9)"
"132071","HG-5186","POINT (2679781.8 1250603.5)"
"114914","AL-6539","POINT (2679673 1250172.4)"
"132074","HG-5185","POINT (2679769.5 1250589.8)"
"105926","AL-6546","POINT (2679701 1250195.1)"
"86009","AL-2109","POINT (2679775 1250306)"
"110609","AL-8675","POINT (2679775.8 1250315.9)"
"114857","AL-8414","POINT (2679715.8 1250319.2)"
"42977","HG-4953","POINT (2679848.8 1250632.6)"
"105920","AL-6526","POINT (2679709.5 1250249)"
"126437","AL-9019","POINT (2679682.2 1250168.9)"
"106673","AL-6508","POINT (2679811.5 1250267.8)"
"73115","AL-8457","POINT (2679815.5 1250175.5)"
"221684","HG-3067","POINT (2679656.5 1250470.4)"
"132833","HG-412","POINT (2679851.2 1250646.2)"
"106766","AL-6500","POINT (2679786 1250272.8)"
"59903","HG-5540","POINT (2679683 1250389.1)"
"51350","HG-3038","POINT (2679714 1250762.9)"
"129437","AL-8676","POINT (2679777 1250312.8)"
"43244","HG-3064","POINT (2679604 1250492.2)"
"114875","AL-6540","POINT (2679676.2 1250176.9)"
"129722","AL-6522","POINT (2679658.2 1250315.5)"
"115412","AL-7527","POINT (2679674.8 1250257.6)"
"105416","HG-5187","POINT (2679801.8 1250619)"
"145256","HG-3665","POINT (2679855.5 1250640.6)"
"76769","HG-383","POINT (2679713.5 1250623.5)"
"106688","AL-6506","POINT (2679795.5 1250274.9)"
"122036","HG-5202","POINT (2679803 1250598.2)"
"129311","AL-8691","POINT (2679829 1250300.2)"
"75089","HG-5539","POINT (2679686.5 1250391)"
"76754","HG-4945","POINT (2679806.5 1250593.2)"
"92756","AL-4358","POINT (2679636.8 1250290.1)"
"51332","HG-3032","POINT (2679780.2 1250717.9)"
"108335","HG-217","POINT (2679830 1250791.5)"
"122018","HG-5194","POINT (2679812.2 1250610.6)"
"74912","HG-377","POINT (2679665 1250634)"
"97841","HG-5182","POINT (2679755.2 1250607.1)"
"108341","HG-215","POINT (2679795.8 1250717.8)"
"129320","AL-8733","POINT (2679807.8 1250307.6)"
"51347","HG-3037","POINT (2679722.8 1250757)"
"115460","AL-7529","POINT (2679602.2 1250232.9)"
"129704","AL-8417","POINT (2679725.8 1250319.1)"
"74924","HG-373","POINT (2679630.8 1250639.8)"
"97847","HG-5203","POINT (2679798.2 1250596.6)"
"114842","AL-6533","POINT (2679688.8 1250224.5)"
"114863","AL-6544","POINT (2679687 1250193.6)"
"132557","HG-214","POINT (2679818.8 1250676.8)"
"115409","AL-7526","POINT (2679671.8 1250253.1)"
"114923","AL-8690","POINT (2679829.2 1250302.5)"
"106001","AL-6545","POINT (2679685.2 1250196.8)"
"132578","HG-7178","POINT (2679676.2 1250390.9)"
"106577","AL-4363","POINT (2679758.8 1250284.5)"
"123974","HG-5175","POINT (2679700.8 1250424.1)"
"105917","AL-6519","POINT (2679700.2 1250286.2)"
"59900","HG-5549","POINT (2679713.2 1250383.6)"
"115385","AL-7518","POINT (2679627.2 1250258.8)"
"73142","AL-8658","POINT (2679777 1250193.6)"
"106592","AL-6511","POINT (2679840 1250274.9)"
"74975","HG-371","POINT (2679613.5 1250642.8)"
"129434","AL-8681","POINT (2679785.5 1250312.4)"
"105923","AL-6527","POINT (2679709 1250236.6)"
"73118","AL-8451","POINT (2679805.8 1250184.9)"
"115415","AL-7528","POINT (2679679.2 1250264.8)"
"106769","AL-6501","POINT (2679784.2 1250271)"
"132839","HG-5188","POINT (2679815.2 1250628.4)"
"123971","HG-4704","POINT (2679702 1250405.1)"
"106760","AL-6495","POINT (2679793.8 1250270.2)"
"41774","HG-4946","POINT (2679828.2 1250606.1)"
"114845","AL-6534","POINT (2679690 1250241.8)"
"129713","AL-8411","POINT (2679684.8 1250320.5)"
"43247","HG-3065","POINT (2679623.5 1250484.5)"
"129326","AL-8685","POINT (2679798.5 1250308.4)"
"106658","AL-6510","POINT (2679844.8 1250281.1)"
"106568","AL-4360","POINT (2679764.8 1250269.2)"
"114773","AL-6529","POINT (2679706 1250217.9)"
"106679","AL-6503","POINT (2679803.2 1250270.6)"
"42893","HG-4941","POINT (2679836.5 1250586)"
"74918","HG-375","POINT (2679647.5 1250637.1)"
"73145","AL-8659","POINT (2679774.5 1250194.4)"
"106691","AL-6505","POINT (2679796.8 1250272.4)"
"129431","AL-8683","POINT (2679789 1250309.9)"
"187880","HG-5865","POINT (2679818.8 1250697.4)"
"114854","AL-8678","POINT (2679780.8 1250312.2)"
"115388","AL-7519","POINT (2679637.8 1250230.1)"
"105905","AL-6520","POINT (2679644.5 1250297.2)"
"60647","HG-5204","POINT (2679794 1250595.8)"
"59873","HG-5866","POINT (2679826.8 1250697.2)"
"43292","HG-4948","POINT (2679832.8 1250604)"
"51335","HG-3033","POINT (2679771.5 1250723.5)"
"85790","AL-2113","POINT (2679822.5 1250296.4)"
"76748","HG-4942","POINT (2679813 1250590.4)"
"115304","AL-7515","POINT (2679611 1250282.8)"
"42980","HG-4955","POINT (2679827.5 1250616.6)"
"129440","AL-8673","POINT (2679773 1250317.5)"
"85781","AL-4368","POINT (2679857.8 1250288.8)"
"76763","HG-385","POINT (2679729.5 1250620.1)"
"129452","AL-8670","POINT (2679759.5 1250313.8)"
"114770","AL-6530","POINT (2679704.8 1250213.9)"
"126323","AL-9012","POINT (2679701 1250184.2)"
"97832","HG-5179","POINT (2679726.8 1250555.9)"
"110603","HG-6706","POINT (2679710.2 1250383.4)"
"218774","HG-388","POINT (2679753.5 1250615.2)"
"122009","HG-5190","POINT (2679821.5 1250622.6)"
"114872","AL-6541","POINT (2679674 1250183.1)"
"110681","AL-8688","POINT (2679814.2 1250305.9)"
"86006","AL-2110","POINT (2679786.8 1250304.4)"
"132584","HG-6709","POINT (2679656.8 1250392.9)"
"106670","AL-6513","POINT (2679820.2 1250265.4)"
"51359","HG-3041","POINT (2679687 1250781.4)"
"106775","AL-6493","POINT (2679793.2 1250280.4)"
"51338","HG-3034","POINT (2679750.5 1250737.9)"
"105911","AL-4359","POINT (2679663 1250287.1)"
"86003","AL-2111","POINT (2679798.8 1250301.5)"
"51356","HG-3040","POINT (2679694.8 1250776)"
"74909","HG-378","POINT (2679673.8 1250632)"
"129446","AL-8672","POINT (2679768.5 1250313)"
"132587","HG-6711","POINT (2679639.2 1250394.9)"
"115391","AL-7520","POINT (2679644.5 1250218.4)"
"97850","HG-5205","POINT (2679728 1250557.1)"
"114929","AL-8693","POINT (2679836 1250300.1)"
"74906","HG-2993","POINT (2679686 1250629.6)"
"129707","AL-8413","POINT (2679705.8 1250319.4)"
"114851","AL-8679","POINT (2679782.5 1250312.2)"
"106580","AL-4364","POINT (2679757.5 1250287.4)"
"115397","AL-7522","POINT (2679664.5 1250219.2)"
"132575","HG-7179","POINT (2679677.2 1250389.5)"
"105914","AL-6518","POINT (2679695.5 1250286.6)"
"73139","AL-8657","POINT (2679778.8 1250193.1)"
"86012","AL-4354","POINT (2679762.2 1250307.5)"
"74915","HG-376","POINT (2679656.2 1250635.4)"
"123977","HG-5177","POINT (2679702.5 1250432.8)"
"106664","AL-6512","POINT (2679830.8 1250262.4)"
"73124","AL-8437","POINT (2679799.8 1250186.5)"
"106574","AL-4362","POINT (2679762.2 1250284.9)"
"114767","AL-6531","POINT (2679705.8 1250212.6)"
"108344","HG-213","POINT (2679810.2 1250674.1)"
"105908","AL-6521","POINT (2679653.2 1250301.6)"
"97838","HG-5181","POINT (2679748 1250606.8)"
"44882","HG-5544","POINT (2679711.5 1250385.2)"
"75086","HG-5554","POINT (2679725.8 1250384.2)"
"121979","HG-212","POINT (2679797.2 1250675.9)"
"41777","HG-4947","POINT (2679830.5 1250602.6)"
"111095","AL-8652","POINT (2679637.2 1250303.5)"
"73136","AL-8656","POINT (2679781.5 1250192.4)"
"210233","WD-163","POINT (2681601.5 1246986.9)"
"148652","WD-8964","POINT (2681262.5 1247045.5)"
"148562","WD-8992","POINT (2681343 1246993.5)"
"210749","WD-153","POINT (2681502.8 1246960.2)"
"229001","WD-8312","POINT (2681625.5 1246949.5)"
"148583","WD-8986","POINT (2681351 1247031.9)"
"191261","WD-12505","POINT (2681355.8 1247005.4)"
"199724","WD-9073","POINT (2681517.8 1247006.6)"
"148580","WD-8958","POINT (2681309 1247017.9)"
"232121","WD-8307","POINT (2681544 1246956.8)"
"148568","WD-8995","POINT (2681363 1246993.6)"
"210752","WD-176","POINT (2681472 1246958.8)"
"18077","WD-3579","POINT (2681460 1246960.1)"
"148640","WD-8960","POINT (2681285.8 1247020.6)"
"68438","WD-166","POINT (2681534.8 1246976.1)"
"210734","WD-159","POINT (2681561.2 1246972.4)"
"210737","WD-158","POINT (2681553 1246970.9)"
"210743","WD-156","POINT (2681532.2 1246966.2)"
"211268","WD-169","POINT (2681508.8 1246970.8)"
"191321","WD-8994","POINT (2681358 1246997.4)"
"192419","WD-9000","POINT (2681385 1246943.4)"
"210731","WD-160","POINT (2681569.8 1246974.1)"
"231281","WD-8313","POINT (2681625.2 1246946.9)"
"148577","WD-8987","POINT (2681353.8 1247028.8)"
"222179","WD-12529","POINT (2681580.8 1246965)"
"231137","WD-4468","POINT (2681599.8 1246979.9)"
"231152","WD-4464","POINT (2681598.5 1246962.4)"
"231284","WD-8310","POINT (2681620.5 1246963.8)"
"191315","WD-8983","POINT (2681344.2 1247039.9)"
"148637","WD-8959","POINT (2681291 1247014.4)"
"231143","WD-8311","POINT (2681623.5 1246956.1)"
"207569","WD-8314","POINT (2681623.5 1246945.6)"
"210728","WD-161","POINT (2681578.2 1246976.9)"
"175643","WD-8305","POINT (2681545.2 1246949.9)"
"61259","WD-8989","POINT (2681357.8 1247024.1)"
"232124","WD-8306","POINT (2681537.2 1246949.1)"
"3731","WD-3281","POINT (2681543.5 1246977.9)"
"191312","WD-8984","POINT (2681342 1247042)"
"207563","WD-4465","POINT (2681612 1246967.1)"
"95810","WD-207","POINT (2681646.5 1247000.9)"
"211262","WD-173","POINT (2681461.2 1246990.2)"
"172625","WD-4471","POINT (2681614.2 1246986.8)"
"148565","WD-8993","POINT (2681353.8 1246994.9)"
"22313","WD-8036","POINT (2681519.8 1246963.8)"
"231140","WD-8309","POINT (2681618.8 1246969.8)"
"148643","WD-8961","POINT (2681280.2 1247027.1)"
"43853","WD-9757","POINT (2681458.5 1246998.5)"
"210746","WD-154","POINT (2681510.8 1246961.9)"
"193115","WD-9075","POINT (2681483.5 1247013.5)"
"214817","WD-9070","POINT (2681508.8 1247017.6)"
"30008","WD-9758","POINT (2681551.5 1246979.8)"
"172628","WD-4472","POINT (2681615.5 1246980.4)"
"219827","WD-171","POINT (2681491.5 1246967.4)"
"210740","WD-157","POINT (2681543.8 1246968.9)"
"191318","WD-8985","POINT (2681344.8 1247038.5)"
